# R/Å F/kT U/kT C/R <exp(-u/kT)-1>
23.00 244.3727 2.3107e2 0.0000e0 -1.0000e0
23.10 202.5660 1.8926e2 0.0000e0 -1.0000e0
23.20 168.4011 1.5510e2 0.0000e0 -1.0000e0
23.30 140.4032 1.2710e2 -2.2190e-12 -1.0000e0
23.40 117.4077 1.0410e2 0.0000e0 -1.0000e0
23.50 98.4871 8.5183e1 0.0000e0 -1.0000e0
23.60 82.8964 6.9593e1 0.0000e0 -1.0000e0
23.70 70.0360 5.6732e1 0.0000e0 -1.0000e0
23.80 59.4197 4.6116e1 1.0660e-8 -1.0000e0
23.90 50.6507 3.7347e1 3.2814e-5 -1.0000e0
24.00 43.4051 3.0102e1 7.5374e-3 -1.0000e0
24.10 37.4086 2.4157e1 2.0488e-1 -1.0000e0
24.20 32.2379 1.9473e1 4.5364e-1 -1.0000e0
24.30 27.0474 1.4534e1 5.9153e-1 -1.0000e0
24.40 22.2488 9.6310e0 9.7515e-1 -1.0000e0
24.50 18.3628 5.8121e0 8.5820e-1 -1.0000e0
24.60 15.3197 2.8806e0 6.8313e-1 -1.0000e0
24.70 12.9673 6.3156e-1 5.5975e-1 -1.0000e0
24.80 11.1673 -1.0704e0 5.1842e-1 -9.9999e-1
24.90 9.7981 -2.3207e0 5.5513e-1 -9.9994e-1
25.00 8.7476 -3.2085e0 5.7492e-1 -9.9984e-1
25.10 7.9206 -3.8532e0 4.9821e-1 -9.9964e-1
25.20 7.2524 -4.3731e0 4.6363e-1 -9.9929e-1
25.30 6.7107 -4.8039e0 6.3121e-1 -9.9878e-1
25.40 6.2749 -5.1150e0 9.3346e-1 -9.9812e-1
25.50 5.9201 -5.2925e0 1.1834e0 -9.9732e-1
25.60 5.6189 -5.3681e0 1.3039e0 -9.9637e-1
25.70 5.3475 -5.3800e0 1.3849e0 -9.9524e-1
25.80 5.0806 -5.3496e0 1.4396e0 -9.9378e-1
25.90 4.7839 -5.3502e0 1.3959e0 -9.9164e-1
26.00 4.4352 -5.5128e0 1.5208e0 -9.8815e-1
26.10 4.0549 -5.8485e0 2.0344e0 -9.8266e-1
26.20 3.6888 -6.2230e0 2.6562e0 -9.7500e-1
26.30 3.3710 -6.5207e0 3.1200e0 -9.6564e-1
26.40 3.1142 -6.7033e0 3.3902e0 -9.5559e-1
26.50 2.9182 -6.7712e0 3.5140e0 -9.4597e-1
26.60 2.7747 -6.7366e0 3.5325e0 -9.3763e-1
26.70 2.6687 -6.6200e0 3.4591e0 -9.3065e-1
26.80 2.5794 -6.4608e0 3.3063e0 -9.2418e-1
26.90 2.4888 -6.3145e0 3.1652e0 -9.1699e-1
27.00 2.3896 -6.2178e0 3.1620e0 -9.0833e-1
27.10 2.2863 -6.1593e0 3.3062e0 -8.9836e-1
27.20 2.1862 -6.1014e0 3.4787e0 -8.8765e-1
27.30 2.0920 -6.0204e0 3.5632e0 -8.7656e-1
27.40 2.0022 -5.9185e0 3.5458e0 -8.6496e-1
27.50 1.9147 -5.8052e0 3.4674e0 -8.5261e-1
27.60 1.8290 -5.6849e0 3.3408e0 -8.3942e-1
27.70 1.7450 -5.5612e0 3.1604e0 -8.2536e-1
27.80 1.6631 -5.4406e0 2.9451e0 -8.1045e-1
27.90 1.5841 -5.3281e0 2.7310e0 -7.9486e-1
28.00 1.5086 -5.2254e0 2.5525e0 -7.7879e-1
28.10 1.4367 -5.1313e0 2.4209e0 -7.6229e-1
28.20 1.3665 -5.0472e0 2.3268e0 -7.4499e-1
28.30 1.2955 -4.9800e0 2.2732e0 -7.2625e-1
28.40 1.2230 -4.9357e0 2.2855e0 -7.0565e-1
28.50 1.1503 -4.9105e0 2.3721e0 -6.8345e-1
28.60 1.0799 -4.8927e0 2.5047e0 -6.6037e-1
28.70 1.0135 -4.8715e0 2.6433e0 -6.3707e-1
28.80 0.9519 -4.8414e0 2.7596e0 -6.1400e-1
28.90 0.8954 -4.8004e0 2.8397e0 -5.9156e-1
29.00 0.8444 -4.7472e0 2.8771e0 -5.7018e-1
29.10 0.7988 -4.6817e0 2.8679e0 -5.5011e-1
29.20 0.7575 -4.6073e0 2.8193e0 -5.3118e-1
29.30 0.7193 -4.5301e0 2.7514e0 -5.1289e-1
29.40 0.6827 -4.4555e0 2.6838e0 -4.9476e-1
29.50 0.6473 -4.3866e0 2.6253e0 -4.7657e-1
29.60 0.6134 -4.3243e0 2.5800e0 -4.5847e-1
29.70 0.5814 -4.2677e0 2.5501e0 -4.4089e-1
29.80 0.5521 -4.2149e0 2.5368e0 -4.2428e-1
29.90 0.5258 -4.1640e0 2.5397e0 -4.0891e-1
30.00 0.5022 -4.1132e0 2.5534e0 -3.9481e-1
30.10 0.4809 -4.0613e0 2.5665e0 -3.8178e-1
30.20 0.4614 -4.0076e0 2.5689e0 -3.6957e-1
30.30 0.4431 -3.9519e0 2.5556e0 -3.5793e-1
30.40 0.4254 -3.8946e0 2.5254e0 -3.4652e-1
