# R/Å F/kT U/kT C/R <exp(-u/kT)-1>
23.00 inf NaN NaN -1.0000e0
23.50 500.1602 4.8983e2 5.3504e-12 -1.0000e0
24.00 170.7673 1.6069e2 -1.5999e-12 -1.0000e0
24.50 45.8851 3.5807e1 -3.1463e-14 -1.0000e0
25.00 13.2678 3.1892e0 2.6395e-6 -1.0000e0
25.50 5.1848 -4.8840e0 5.9127e-2 -9.9440e-1
26.00 3.7693 -6.0021e0 5.6169e-1 -9.7693e-1
26.50 3.4043 -4.9902e0 7.8747e-1 -9.6677e-1
27.00 2.4696 -4.9328e0 9.7313e-1 -9.1538e-1
27.50 1.8181 -5.0447e0 8.3290e-1 -8.3767e-1
28.00 1.4135 -4.9867e0 1.1130e0 -7.5671e-1
28.50 1.2721 -4.4882e0 1.2540e0 -7.1974e-1
29.00 1.0022 -4.0845e0 1.0339e0 -6.3292e-1
29.50 0.6025 -4.0315e0 1.2420e0 -4.5256e-1
30.00 0.3665 -3.9921e0 1.3456e0 -3.0684e-1
30.50 0.2261 -3.9569e0 1.7573e0 -2.0240e-1
31.00 0.0946 -3.9300e0 2.3631e0 -9.0255e-2
31.50 0.0951 -3.4510e0 1.7543e0 -9.0752e-2
32.00 0.0630 -3.1877e0 1.5238e0 -6.1050e-2
32.50 0.0131 -3.0583e0 1.7033e0 -1.2993e-2
33.00 -0.0154 -2.8129e0 1.4749e0 1.5469e-2
33.50 -0.0583 -2.6199e0 1.3419e0 6.0074e-2
34.00 -0.1231 -2.5130e0 1.3504e0 1.3095e-1
34.50 -0.1845 -2.4252e0 1.4083e0 2.0265e-1
35.00 -0.2430 -2.3929e0 1.6147e0 2.7506e-1
35.50 -0.2359 -2.1870e0 1.3037e0 2.6599e-1
36.00 -0.2488 -2.0465e0 1.2612e0 2.8251e-1
36.50 -0.3118 -2.0323e0 1.4375e0 3.6587e-1
37.00 -0.3717 -2.0621e0 1.7527e0 4.5027e-1
37.50 -0.3948 -1.9745e0 1.7058e0 4.8408e-1
38.00 -0.4136 -1.9091e0 1.7472e0 5.1225e-1
38.50 -0.3997 -1.7361e0 1.4395e0 4.9134e-1
39.00 -0.4083 -1.6367e0 1.3440e0 5.0432e-1
39.50 -0.4333 -1.5871e0 1.3157e0 5.4230e-1
40.00 -0.4632 -1.5830e0 1.4795e0 5.8911e-1
40.50 -0.4681 -1.4951e0 1.3481e0 5.9692e-1
41.00 -0.4455 -1.3660e0 1.2001e0 5.6128e-1
41.50 -0.4408 -1.3232e0 1.4085e0 5.5396e-1
42.00 -0.4222 -1.2097e0 1.2311e0 5.2525e-1
42.50 -0.4099 -1.1149e0 1.0601e0 5.0664e-1
43.00 -0.3964 -1.0450e0 1.0167e0 4.8645e-1
43.50 -0.3781 -9.7064e-1 9.4897e-1 4.5955e-1
44.00 -0.3495 -8.7737e-1 8.5228e-1 4.1843e-1
44.50 -0.3310 -8.1349e-1 8.3277e-1 3.9239e-1
45.00 -0.3227 -7.6465e-1 7.9047e-1 3.8080e-1
45.50 -0.3104 -7.2225e-1 7.9493e-1 3.6402e-1
46.00 -0.2868 -6.5014e-1 7.1621e-1 3.3213e-1
46.50 -0.2640 -5.8174e-1 6.2552e-1 3.0208e-1
47.00 -0.2435 -5.2549e-1 5.6914e-1 2.7568e-1
47.50 -0.2244 -4.7510e-1 5.2668e-1 2.5153e-1
48.00 -0.2050 -4.2353e-1 4.7671e-1 2.2750e-1
48.50 -0.2010 -4.1520e-1 5.2076e-1 2.2257e-1
49.00 -0.1914 -4.0140e-1 5.6901e-1 2.1099e-1
49.50 -0.1693 -3.4274e-1 4.5766e-1 1.8446e-1
50.00 -0.1429 -2.7510e-1 3.2827e-1 1.5361e-1
50.50 -0.1226 -2.2980e-1 2.6236e-1 1.3044e-1
51.00 -0.1075 -1.9793e-1 2.2632e-1 1.1344e-1
51.50 -0.0963 -1.7500e-1 2.0323e-1 1.0110e-1
52.00 -0.0867 -1.5304e-1 1.7620e-1 9.0555e-2
52.50 -0.0794 -1.3950e-1 1.7307e-1 8.2656e-2
53.00 -0.0683 -1.1555e-1 1.3114e-1 7.0731e-2
53.50 -0.0548 -8.6577e-2 8.2639e-2 5.6282e-2
54.00 -0.0432 -6.4288e-2 5.0876e-2 4.4184e-2
54.50 -0.0339 -4.7932e-2 3.2035e-2 3.4465e-2
55.00 -0.0260 -3.5132e-2 1.9957e-2 2.6345e-2
55.50 -0.0202 -2.5836e-2 1.1813e-2 2.0445e-2
56.00 -0.0159 -1.9590e-2 7.7533e-3 1.6046e-2
56.50 -0.0126 -1.4968e-2 5.4139e-3 1.2726e-2
57.00 -0.0099 -1.1275e-2 3.2576e-3 9.9399e-3
57.50 -0.0075 -8.3395e-3 1.8895e-3 7.5432e-3
58.00 -0.0056 -6.0913e-3 1.0532e-3 5.6327e-3
58.50 -0.0042 -4.4488e-3 5.8471e-4 4.1875e-3
59.00 -0.0031 -3.2593e-3 3.2776e-4 3.1099e-3
59.50 -0.0023 -2.3919e-3 1.8552e-4 2.3059e-3
