# R/Å F/kT U/kT
23.00 134.92 121.61
23.10 111.52 98.20
23.20 92.16 78.85
23.30 76.18 62.87
23.40 63.02 49.71
23.50 52.20 38.89
23.60 43.32 30.01
23.70 36.06 22.75
23.80 30.13 16.82
23.90 25.32 12.00
24.00 21.42 8.11
24.10 18.27 4.96
24.20 15.75 2.44
24.30 13.74 0.43
24.40 12.15 -1.16
24.50 10.91 -2.40
24.60 9.95 -3.36
24.70 9.22 -4.09
24.80 8.67 -4.64
24.90 8.28 -5.03
25.00 8.00 -5.29
25.10 7.81 -5.43
25.20 7.69 -5.44
25.30 7.58 -5.29
25.40 7.43 -4.99
25.50 7.19 -4.66
25.60 6.83 -4.49
25.70 6.38 -4.63
25.80 5.92 -5.00
25.90 5.50 -5.43
26.00 5.17 -5.76
26.10 4.94 -5.93
26.20 4.77 -5.94
26.30 4.65 -5.81
26.40 4.54 -5.57
26.50 4.42 -5.30
26.60 4.28 -5.04
26.70 4.12 -4.85
26.80 3.95 -4.73
26.90 3.78 -4.65
27.00 3.60 -4.60
27.10 3.44 -4.57
27.20 3.29 -4.55
27.30 3.15 -4.52
27.40 3.02 -4.48
27.50 2.90 -4.44
27.60 2.78 -4.40
27.70 2.67 -4.35
27.80 2.57 -4.30
27.90 2.46 -4.25
28.00 2.36 -4.21
28.10 2.25 -4.18
28.20 2.15 -4.15
28.30 2.05 -4.12
28.40 1.95 -4.08
28.50 1.86 -4.05
28.60 1.77 -4.01
28.70 1.68 -3.98
28.80 1.59 -3.95
28.90 1.51 -3.93
29.00 1.43 -3.91
29.10 1.36 -3.88
29.20 1.29 -3.86
29.30 1.23 -3.84
29.40 1.17 -3.81
29.50 1.12 -3.77
29.60 1.07 -3.73
29.70 1.03 -3.68
29.80 0.99 -3.63
29.90 0.95 -3.58
30.00 0.92 -3.53
30.10 0.88 -3.49
30.20 0.85 -3.44
30.30 0.81 -3.40
30.40 0.78 -3.36
30.50 0.76 -3.32
30.60 0.73 -3.28
30.70 0.70 -3.24
30.80 0.68 -3.19
30.90 0.66 -3.15
31.00 0.64 -3.11
31.10 0.62 -3.06
31.20 0.59 -3.02
31.30 0.57 -2.97
31.40 0.55 -2.93
31.50 0.53 -2.89
31.60 0.51 -2.85
31.70 0.49 -2.82
31.80 0.48 -2.78
31.90 0.46 -2.75
32.00 0.44 -2.72
32.10 0.42 -2.69
32.20 0.41 -2.66
32.30 0.39 -2.63
32.40 0.38 -2.60
32.50 0.36 -2.56
32.60 0.35 -2.53
32.70 0.33 -2.50
32.80 0.32 -2.47
32.90 0.30 -2.44
33.00 0.29 -2.41
33.10 0.27 -2.39
33.20 0.26 -2.37
33.30 0.24 -2.35
33.40 0.23 -2.32
33.50 0.21 -2.30
33.60 0.20 -2.28
33.70 0.18 -2.25
33.80 0.17 -2.23
33.90 0.16 -2.20
34.00 0.14 -2.18
34.10 0.13 -2.16
34.20 0.11 -2.15
34.30 0.10 -2.13
34.40 0.09 -2.11
34.50 0.08 -2.08
34.60 0.07 -2.06
34.70 0.06 -2.04
34.80 0.05 -2.02
34.90 0.04 -1.99
35.00 0.03 -1.97
35.10 0.02 -1.95
35.20 0.01 -1.93
35.30 0.00 -1.92
35.40 -0.01 -1.90
35.50 -0.02 -1.89
35.60 -0.03 -1.88
35.70 -0.04 -1.87
35.80 -0.05 -1.85
35.90 -0.06 -1.84
36.00 -0.07 -1.82
36.10 -0.07 -1.81
36.20 -0.08 -1.79
36.30 -0.09 -1.78
36.40 -0.09 -1.76
36.50 -0.10 -1.74
36.60 -0.10 -1.72
36.70 -0.11 -1.70
36.80 -0.11 -1.68
36.90 -0.12 -1.66
37.00 -0.12 -1.64
37.10 -0.12 -1.62
37.20 -0.13 -1.61
37.30 -0.13 -1.59
37.40 -0.14 -1.57
37.50 -0.14 -1.56
37.60 -0.15 -1.54
37.70 -0.15 -1.53
37.80 -0.15 -1.51
37.90 -0.16 -1.50
38.00 -0.16 -1.48
38.10 -0.16 -1.46
38.20 -0.17 -1.45
38.30 -0.17 -1.43
38.40 -0.17 -1.41
38.50 -0.18 -1.40
38.60 -0.18 -1.39
38.70 -0.18 -1.37
38.80 -0.19 -1.36
38.90 -0.19 -1.34
39.00 -0.19 -1.33
39.10 -0.20 -1.31
39.20 -0.20 -1.30
39.30 -0.20 -1.28
39.40 -0.20 -1.27
39.50 -0.20 -1.25
39.60 -0.21 -1.24
39.70 -0.21 -1.22
39.80 -0.21 -1.21
39.90 -0.21 -1.19
40.00 -0.21 -1.18
40.10 -0.22 -1.16
40.20 -0.22 -1.15
40.30 -0.22 -1.14
40.40 -0.22 -1.12
40.50 -0.22 -1.11
40.60 -0.22 -1.10
40.70 -0.22 -1.08
40.80 -0.22 -1.07
40.90 -0.22 -1.05
41.00 -0.22 -1.04
41.10 -0.22 -1.02
41.20 -0.22 -1.01
41.30 -0.22 -0.99
41.40 -0.22 -0.98
41.50 -0.22 -0.96
41.60 -0.22 -0.95
41.70 -0.22 -0.94
41.80 -0.22 -0.92
41.90 -0.22 -0.91
42.00 -0.22 -0.90
42.10 -0.22 -0.88
42.20 -0.21 -0.87
42.30 -0.21 -0.86
42.40 -0.21 -0.85
42.50 -0.21 -0.83
42.60 -0.21 -0.82
42.70 -0.21 -0.81
42.80 -0.21 -0.80
42.90 -0.21 -0.78
43.00 -0.21 -0.77
43.10 -0.20 -0.76
43.20 -0.20 -0.75
43.30 -0.20 -0.74
43.40 -0.20 -0.73
43.50 -0.20 -0.72
43.60 -0.20 -0.71
43.70 -0.19 -0.69
43.80 -0.19 -0.68
43.90 -0.19 -0.67
44.00 -0.19 -0.66
44.10 -0.19 -0.65
44.20 -0.18 -0.64
44.30 -0.18 -0.63
44.40 -0.18 -0.61
44.50 -0.18 -0.60
44.60 -0.18 -0.59
44.70 -0.17 -0.58
44.80 -0.17 -0.57
44.90 -0.17 -0.56
45.00 -0.17 -0.55
45.10 -0.17 -0.54
45.20 -0.16 -0.53
45.30 -0.16 -0.52
45.40 -0.16 -0.51
45.50 -0.16 -0.50
45.60 -0.16 -0.49
45.70 -0.15 -0.48
45.80 -0.15 -0.47
45.90 -0.15 -0.47
46.00 -0.15 -0.46
46.10 -0.15 -0.45
46.20 -0.14 -0.44
46.30 -0.14 -0.43
46.40 -0.14 -0.42
46.50 -0.14 -0.41
46.60 -0.13 -0.40
46.70 -0.13 -0.40
46.80 -0.13 -0.39
46.90 -0.13 -0.38
47.00 -0.12 -0.37
47.10 -0.12 -0.36
47.20 -0.12 -0.35
47.30 -0.11 -0.34
47.40 -0.11 -0.33
47.50 -0.11 -0.32
47.60 -0.11 -0.31
47.70 -0.10 -0.31
47.80 -0.10 -0.30
47.90 -0.10 -0.29
48.00 -0.10 -0.28
48.10 -0.09 -0.28
48.20 -0.09 -0.27
48.30 -0.09 -0.26
48.40 -0.09 -0.26
48.50 -0.09 -0.25
48.60 -0.08 -0.25
48.70 -0.08 -0.24
48.80 -0.08 -0.23
48.90 -0.08 -0.23
49.00 -0.08 -0.22
49.10 -0.08 -0.22
49.20 -0.07 -0.21
49.30 -0.07 -0.20
49.40 -0.07 -0.20
49.50 -0.07 -0.19
49.60 -0.06 -0.19
49.70 -0.06 -0.18
49.80 -0.06 -0.17
49.90 -0.06 -0.17
50.00 -0.06 -0.16
50.10 -0.05 -0.16
50.20 -0.05 -0.15
50.30 -0.05 -0.15
50.40 -0.05 -0.14
