# R/Å F/kT U/kT
23.00 159.46 146.15
23.10 130.91 117.60
23.20 107.30 93.99
23.30 87.82 74.51
23.40 71.80 58.49
23.50 58.65 45.34
23.60 47.88 34.57
23.70 39.10 25.79
23.80 31.97 18.66
23.90 26.21 12.90
24.00 21.57 8.25
24.10 17.85 4.54
24.20 14.90 1.59
24.30 12.58 -0.73
24.40 10.76 -2.55
24.50 9.37 -3.94
24.60 8.31 -5.00
24.70 7.53 -5.78
24.80 6.97 -6.34
24.90 6.58 -6.73
25.00 6.33 -6.97
25.10 6.18 -7.09
25.20 6.09 -7.07
25.30 6.01 -6.92
25.40 5.87 -6.76
25.50 5.65 -6.70
25.60 5.36 -6.72
25.70 5.03 -6.80
25.80 4.68 -6.99
25.90 4.37 -7.22
26.00 4.13 -7.39
26.10 3.97 -7.45
26.20 3.87 -7.38
26.30 3.81 -7.22
26.40 3.76 -6.99
26.50 3.71 -6.71
26.60 3.65 -6.40
26.70 3.56 -6.10
26.80 3.45 -5.83
26.90 3.30 -5.63
27.00 3.14 -5.52
27.10 2.96 -5.48
27.20 2.80 -5.46
27.30 2.64 -5.45
27.40 2.49 -5.44
27.50 2.35 -5.44
27.60 2.22 -5.43
27.70 2.10 -5.43
27.80 1.99 -5.40
27.90 1.90 -5.34
28.00 1.81 -5.25
28.10 1.73 -5.16
28.20 1.64 -5.07
28.30 1.56 -4.98
28.40 1.47 -4.92
28.50 1.37 -4.87
28.60 1.27 -4.86
28.70 1.17 -4.88
28.80 1.07 -4.90
28.90 0.98 -4.91
29.00 0.89 -4.93
29.10 0.80 -4.96
29.20 0.72 -4.99
29.30 0.64 -5.01
29.40 0.58 -5.00
29.50 0.53 -4.96
29.60 0.49 -4.90
29.70 0.45 -4.83
29.80 0.41 -4.77
29.90 0.38 -4.73
30.00 0.34 -4.68
30.10 0.32 -4.63
30.20 0.29 -4.57
30.30 0.26 -4.52
30.40 0.24 -4.47
30.50 0.21 -4.44
30.60 0.19 -4.41
30.70 0.16 -4.39
30.80 0.14 -4.36
30.90 0.12 -4.32
31.00 0.11 -4.27
31.10 0.09 -4.20
31.20 0.08 -4.12
31.30 0.07 -4.05
31.40 0.06 -3.98
31.50 0.05 -3.91
31.60 0.04 -3.84
31.70 0.03 -3.78
31.80 0.02 -3.72
31.90 0.01 -3.68
32.00 -0.01 -3.64
32.10 -0.02 -3.62
32.20 -0.04 -3.59
32.30 -0.05 -3.55
32.40 -0.06 -3.50
32.50 -0.07 -3.44
32.60 -0.08 -3.39
32.70 -0.08 -3.35
32.80 -0.09 -3.30
32.90 -0.10 -3.26
33.00 -0.11 -3.23
33.10 -0.12 -3.20
33.20 -0.14 -3.19
33.30 -0.15 -3.17
33.40 -0.17 -3.15
33.50 -0.18 -3.12
33.60 -0.19 -3.09
33.70 -0.20 -3.05
33.80 -0.21 -3.02
33.90 -0.22 -2.98
34.00 -0.23 -2.95
34.10 -0.24 -2.92
34.20 -0.25 -2.91
34.30 -0.26 -2.90
34.40 -0.28 -2.89
34.50 -0.29 -2.87
34.60 -0.30 -2.85
