# R/Å F/kT U/kT C/R <exp(-u/kT)-1>
23.00 247.5596 2.3426e2 0.0000e0 -1.0000e0
23.10 205.2017 1.9190e2 -9.1712e-12 -1.0000e0
23.20 170.5817 1.5728e2 0.0000e0 -1.0000e0
23.30 142.2072 1.2890e2 0.0000e0 -1.0000e0
23.40 118.8991 1.0560e2 0.0000e0 -1.0000e0
23.50 99.7189 8.6415e1 2.2928e-12 -1.0000e0
23.60 83.9122 7.0608e1 -5.7320e-13 -1.0000e0
23.70 70.8719 5.7568e1 5.7320e-13 -1.0000e0
23.80 60.1057 4.6802e1 6.9171e-9 -1.0000e0
23.90 51.2117 3.7908e1 2.4982e-5 -1.0000e0
24.00 43.8620 3.0559e1 6.4643e-3 -1.0000e0
24.10 37.7794 2.4524e1 1.9316e-1 -1.0000e0
24.20 32.5448 1.9771e1 4.7501e-1 -1.0000e0
24.30 27.2845 1.4786e1 5.9465e-1 -1.0000e0
24.40 22.4037 9.8021e0 9.6312e-1 -1.0000e0
24.50 18.4518 5.9151e0 8.3185e-1 -1.0000e0
24.60 15.3596 2.9298e0 6.5575e-1 -1.0000e0
24.70 12.9714 6.3987e-1 5.3717e-1 -1.0000e0
24.80 11.1459 -1.0921e0 5.0021e-1 -9.9999e-1
24.90 9.7591 -2.3643e0 5.4124e-1 -9.9994e-1
25.00 8.6972 -3.2665e0 5.6815e-1 -9.9983e-1
25.10 7.8626 -3.9188e0 4.9459e-1 -9.9962e-1
25.20 7.1885 -4.4440e0 4.5512e-1 -9.9924e-1
25.30 6.6415 -4.8822e0 6.1980e-1 -9.9869e-1
25.40 6.2019 -5.2019e0 9.2820e-1 -9.9797e-1
25.50 5.8451 -5.3855e0 1.1899e0 -9.9711e-1
25.60 5.5435 -5.4629e0 1.3175e0 -9.9609e-1
25.70 5.2728 -5.4741e0 1.3977e0 -9.9487e-1
25.80 5.0071 -5.4415e0 1.4519e0 -9.9331e-1
25.90 4.7111 -5.4388e0 1.4041e0 -9.9101e-1
26.00 4.3611 -5.6022e0 1.5240e0 -9.8724e-1
26.10 3.9771 -5.9470e0 2.0483e0 -9.8126e-1
26.20 3.6066 -6.3335e0 2.6878e0 -9.7286e-1
26.30 3.2854 -6.6408e0 3.1637e0 -9.6257e-1
26.40 3.0266 -6.8290e0 3.4399e0 -9.5152e-1
26.50 2.8298 -6.8991e0 3.5664e0 -9.4098e-1
26.60 2.6869 -6.8642e0 3.5867e0 -9.3191e-1
26.70 2.5825 -6.7451e0 3.5144e0 -9.2441e-1
26.80 2.4957 -6.5811e0 3.3596e0 -9.1756e-1
26.90 2.4075 -6.4288e0 3.2113e0 -9.0996e-1
27.00 2.3103 -6.3276e0 3.2012e0 -9.0076e-1
27.10 2.2082 -6.2674e0 3.3454e0 -8.9010e-1
27.20 2.1090 -6.2093e0 3.5236e0 -8.7865e-1
27.30 2.0160 -6.1279e0 3.6139e0 -8.6681e-1
27.40 1.9273 -6.0247e0 3.5986e0 -8.5447e-1
27.50 1.8412 -5.9096e0 3.5205e0 -8.4137e-1
27.60 1.7568 -5.7870e0 3.3935e0 -8.2741e-1
27.70 1.6742 -5.6606e0 3.2114e0 -8.1255e-1
27.80 1.5936 -5.5370e0 2.9922e0 -7.9681e-1
27.90 1.5157 -5.4217e0 2.7728e0 -7.8035e-1
28.00 1.4414 -5.3165e0 2.5889e0 -7.6340e-1
