# R/Å F/kT U/kT C/R <exp(-u/kT)-1>
23.00 343.1451 3.2984e2 0.0000e0 -1.0000e0
23.10 284.9609 2.7166e2 0.0000e0 -1.0000e0
23.20 237.3402 2.2404e2 0.0000e0 -1.0000e0
23.30 198.2497 1.8495e2 9.8079e-12 -1.0000e0
23.40 166.0830 1.5278e2 0.0000e0 -1.0000e0
23.50 139.5613 1.2626e2 0.0000e0 -1.0000e0
23.60 117.6555 1.0435e2 1.2260e-12 -1.0000e0
23.70 99.5370 8.6233e1 -1.2260e-12 -1.0000e0
23.80 84.5347 7.1231e1 6.1299e-13 -1.0000e0
23.90 72.1002 5.8796e1 5.7547e-8 -1.0000e0
24.00 61.7862 4.8483e1 1.9711e-4 -1.0000e0
24.10 53.2248 3.9927e1 3.9858e-2 -1.0000e0
24.20 46.0322 3.3013e1 4.8884e-1 -1.0000e0
24.30 38.9680 2.6397e1 4.4537e-1 -1.0000e0
24.40 32.0338 1.9219e1 8.8677e-1 -1.0000e0
24.50 26.3956 1.3636e1 7.4805e-1 -1.0000e0
24.60 21.9680 9.3203e0 6.1408e-1 -1.0000e0
24.70 18.5208 5.9696e0 5.2523e-1 -1.0000e0
24.80 15.8571 3.3853e0 4.9364e-1 -1.0000e0
24.90 13.8116 1.4216e0 5.4304e-1 -1.0000e0
25.00 12.2387 -2.5471e-2 6.6412e-1 -1.0000e0
25.10 11.0029 -1.0639e0 6.7825e-1 -9.9998e-1
25.20 9.9843 -1.8866e0 5.1268e-1 -9.9995e-1
25.30 9.1178 -2.6632e0 5.0863e-1 -9.9989e-1
25.40 8.3966 -3.3766e0 8.1760e-1 -9.9977e-1
25.50 7.8224 -3.9246e0 1.2661e0 -9.9960e-1
25.60 7.3770 -4.2565e0 1.6715e0 -9.9937e-1
25.70 7.0257 -4.3943e0 1.9133e0 -9.9911e-1
25.80 6.7319 -4.3975e0 1.9829e0 -9.9881e-1
25.90 6.4638 -4.3219e0 1.9455e0 -9.9844e-1
26.00 6.1925 -4.2208e0 1.7900e0 -9.9796e-1
26.10 5.8937 -4.1831e0 1.5703e0 -9.9724e-1
26.20 5.5638 -4.2874e0 1.5791e0 -9.9617e-1
26.30 5.2259 -4.5050e0 1.9234e0 -9.9462e-1
26.40 4.9091 -4.7395e0 2.3821e0 -9.9262e-1
26.50 4.6331 -4.9170e0 2.7409e0 -9.9028e-1
26.60 4.4051 -5.0100e0 2.9258e0 -9.8778e-1
26.70 4.2226 -5.0223e0 2.9593e0 -9.8534e-1
26.80 4.0775 -4.9673e0 2.8962e0 -9.8305e-1
26.90 3.9575 -4.8619e0 2.7763e0 -9.8089e-1
27.00 3.8475 -4.7338e0 2.6256e0 -9.7867e-1
27.10 3.7353 -4.6193e0 2.5017e0 -9.7613e-1
27.20 3.6167 -4.5377e0 2.4642e0 -9.7313e-1
27.30 3.4946 -4.4805e0 2.5002e0 -9.6964e-1
27.40 3.3722 -4.4304e0 2.5430e0 -9.6568e-1
27.50 3.2506 -4.3807e0 2.5646e0 -9.6125e-1
27.60 3.1308 -4.3297e0 2.5770e0 -9.5632e-1
27.70 3.0139 -4.2738e0 2.5679e0 -9.5090e-1
27.80 2.9006 -4.2120e0 2.5142e0 -9.4501e-1
27.90 2.7918 -4.1465e0 2.4167e0 -9.3869e-1
28.00 2.6889 -4.0793e0 2.2986e0 -9.3204e-1
28.10 2.5927 -4.0105e0 2.1836e0 -9.2518e-1
28.20 2.5029 -3.9398e0 2.0829e0 -9.1816e-1
28.30 2.4179 -3.8686e0 1.9933e0 -9.1090e-1
28.40 2.3352 -3.8021e0 1.9144e0 -9.0321e-1
28.50 2.2528 -3.7473e0 1.8624e0 -8.9490e-1
28.60 2.1706 -3.7062e0 1.8546e0 -8.8589e-1
28.70 2.0897 -3.6747e0 1.8873e0 -8.7627e-1
28.80 2.0111 -3.6459e0 1.9406e0 -8.6615e-1
28.90 1.9355 -3.6151e0 1.9925e0 -8.5565e-1
29.00 1.8632 -3.5804e0 2.0280e0 -8.4483e-1
29.10 1.7946 -3.5414e0 2.0406e0 -8.3380e-1
29.20 1.7297 -3.4982e0 2.0304e0 -8.2267e-1
29.30 1.6686 -3.4523e0 2.0048e0 -8.1149e-1
29.40 1.6109 -3.4052e0 1.9753e0 -8.0029e-1
29.50 1.5562 -3.3580e0 1.9465e0 -7.8906e-1
29.60 1.5042 -3.3114e0 1.9167e0 -7.7780e-1
29.70 1.4547 -3.2667e0 1.8853e0 -7.6652e-1
29.80 1.4077 -3.2249e0 1.8559e0 -7.5529e-1
29.90 1.3635 -3.1861e0 1.8349e0 -7.4424e-1
30.00 1.3223 -3.1500e0 1.8300e0 -7.3349e-1
30.10 1.2842 -3.1153e0 1.8426e0 -7.2312e-1
30.20 1.2489 -3.0797e0 1.8633e0 -7.1318e-1
30.30 1.2161 -3.0416e0 1.8790e0 -7.0362e-1
30.40 1.1853 -3.0002e0 1.8807e0 -6.9435e-1
30.50 1.1559 -2.9557e0 1.8648e0 -6.8523e-1
30.60 1.1271 -2.9097e0 1.8321e0 -6.7602e-1
30.70 1.0979 -2.8656e0 1.7913e0 -6.6644e-1
30.80 1.0679 -2.8272e0 1.7579e0 -6.5626e-1
30.90 1.0370 -2.7958e0 1.7436e0 -6.4548e-1
31.00 1.0060 -2.7701e0 1.7485e0 -6.3431e-1
31.10 0.9755 -2.7467e0 1.7638e0 -6.2301e-1
31.20 0.9463 -2.7224e0 1.7793e0 -6.1181e-1
31.30 0.9182 -2.6954e0 1.7877e0 -6.0075e-1
31.40 0.8910 -2.6652e0 1.7836e0 -5.8974e-1
31.50 0.8641 -2.6332e0 1.7654e0 -5.7857e-1
31.60 0.8371 -2.6020e0 1.7391e0 -5.6705e-1
31.70 0.8099 -2.5738e0 1.7152e0 -5.5509e-1
31.80 0.7826 -2.5491e0 1.7007e0 -5.4279e-1
31.90 0.7558 -2.5267e0 1.6956e0 -5.3037e-1
32.00 0.7297 -2.5051e0 1.6951e0 -5.1796e-1
32.10 0.7045 -2.4833e0 1.6949e0 -5.0565e-1
32.20 0.6801 -2.4612e0 1.6937e0 -4.9343e-1
32.30 0.6565 -2.4385e0 1.6909e0 -4.8135e-1
32.40 0.6337 -2.4150e0 1.6856e0 -4.6937e-1
32.50 0.6115 -2.3909e0 1.6763e0 -4.5746e-1
32.60 0.5898 -2.3667e0 1.6636e0 -4.4555e-1
32.70 0.5686 -2.3429e0 1.6498e0 -4.3369e-1
32.80 0.5481 -2.3192e0 1.6368e0 -4.2197e-1
32.90 0.5285 -2.2949e0 1.6236e0 -4.1052e-1
33.00 0.5098 -2.2692e0 1.6083e0 -3.9940e-1
33.10 0.4918 -2.2424e0 1.5905e0 -3.8850e-1
33.20 0.4743 -2.2150e0 1.5718e0 -3.7770e-1
33.30 0.4571 -2.1878e0 1.5541e0 -3.6687e-1
33.40 0.4399 -2.1611e0 1.5382e0 -3.5591e-1
33.50 0.4227 -2.1352e0 1.5228e0 -3.4472e-1
33.60 0.4052 -2.1107e0 1.5080e0 -3.3317e-1
33.70 0.3874 -2.0882e0 1.4957e0 -3.2120e-1
33.80 0.3694 -2.0677e0 1.4875e0 -3.0886e-1
33.90 0.3514 -2.0486e0 1.4812e0 -2.9630e-1
34.00 0.3336 -2.0299e0 1.4734e0 -2.8367e-1
34.10 0.3162 -2.0112e0 1.4624e0 -2.7112e-1
34.20 0.2994 -1.9925e0 1.4491e0 -2.5870e-1
34.30 0.2830 -1.9737e0 1.4353e0 -2.4648e-1
34.40 0.2672 -1.9549e0 1.4221e0 -2.3449e-1
34.50 0.2520 -1.9360e0 1.4095e0 -2.2276e-1
34.60 0.2374 -1.9170e0 1.3972e0 -2.1129e-1
34.70 0.2232 -1.8980e0 1.3860e0 -2.0008e-1
34.80 0.2097 -1.8789e0 1.3759e0 -1.8918e-1
34.90 0.1967 -1.8594e0 1.3655e0 -1.7859e-1
35.00 0.1842 -1.8394e0 1.3533e0 -1.6826e-1
35.10 0.1721 -1.8192e0 1.3391e0 -1.5807e-1
35.20 0.1600 -1.7997e0 1.3245e0 -1.4787e-1
35.30 0.1480 -1.7815e0 1.3124e0 -1.3755e-1
35.40 0.1359 -1.7649e0 1.3048e0 -1.2708e-1
35.50 0.1238 -1.7500e0 1.3030e0 -1.1647e-1
35.60 0.1117 -1.7366e0 1.3068e0 -1.0570e-1
35.70 0.0995 -1.7245e0 1.3147e0 -9.4750e-2
35.80 0.0873 -1.7135e0 1.3251e0 -8.3578e-2
35.90 0.0749 -1.7038e0 1.3382e0 -7.2176e-2
36.00 0.0626 -1.6953e0 1.3551e0 -6.0652e-2
36.10 0.0505 -1.6873e0 1.3749e0 -4.9244e-2
36.20 0.0390 -1.6785e0 1.3927e0 -3.8238e-2
36.30 0.0282 -1.6679e0 1.4031e0 -2.7837e-2
36.40 0.0183 -1.6551e0 1.4038e0 -1.8113e-2
36.50 0.0091 -1.6405e0 1.3959e0 -9.0206e-3
36.60 0.0004 -1.6244e0 1.3823e0 -4.3533e-4
36.70 -0.0078 -1.6077e0 1.3662e0 7.7958e-3
36.80 -0.0157 -1.5908e0 1.3499e0 1.5803e-2
36.90 -0.0234 -1.5741e0 1.3345e0 2.3702e-2
