# R/Å F/kT U/kT C/R <exp(-u/kT)-1>
23.00 353.3126 3.4001e2 0.0000e0 -1.0000e0
23.10 294.8301 2.8153e2 9.8079e-12 -1.0000e0
23.20 246.9173 2.3361e2 0.0000e0 -1.0000e0
23.30 207.5407 1.9424e2 0.0000e0 -1.0000e0
23.40 175.0943 1.6179e2 -9.8079e-12 -1.0000e0
23.50 148.2997 1.3500e2 0.0000e0 -1.0000e0
23.60 126.1274 1.1282e2 0.0000e0 -1.0000e0
23.70 107.7492 9.4445e1 0.0000e0 -1.0000e0
23.80 92.4939 7.9190e1 1.2260e-12 -1.0000e0
23.90 79.8122 6.6508e1 4.8333e-8 -1.0000e0
24.00 69.2560 5.5952e1 1.6996e-4 -1.0000e0
24.10 60.4572 4.7159e1 3.6652e-2 -1.0000e0
24.20 53.0393 4.0021e1 5.8995e-1 -1.0000e0
24.30 45.7093 3.3414e1 3.7472e-1 -1.0000e0
24.40 38.3509 2.5935e1 4.8443e-1 -1.0000e0
24.50 32.2829 1.9859e1 3.2865e-1 -1.0000e0
24.60 27.4701 1.5040e1 3.4856e-1 -1.0000e0
24.70 23.6940 1.1260e1 4.2930e-1 -1.0000e0
24.80 20.7488 8.3274e0 5.1911e-1 -1.0000e0
24.90 18.4580 6.0771e0 6.0607e-1 -1.0000e0
25.00 16.6735 4.3709e0 6.8653e-1 -1.0000e0
25.10 15.2738 3.0938e0 7.3266e-1 -1.0000e0
25.20 14.1602 2.1358e0 6.9780e-1 -1.0000e0
25.30 13.2590 1.3939e0 6.1954e-1 -1.0000e0
25.40 12.5207 8.0318e-1 6.2548e-1 -1.0000e0
25.50 11.9086 3.4760e-1 7.6974e-1 -9.9999e-1
25.60 11.3901 2.5695e-2 9.5525e-1 -9.9999e-1
25.70 10.9328 -1.9260e-1 1.0620e0 -9.9998e-1
25.80 10.5122 -3.5503e-1 1.1066e0 -9.9997e-1
25.90 10.1136 -4.9010e-1 1.1764e0 -9.9996e-1
26.00 9.7303 -6.0048e-1 1.2624e0 -9.9994e-1
26.10 9.3587 -6.9118e-1 1.2949e0 -9.9991e-1
26.20 8.9978 -7.7643e-1 1.2644e0 -9.9988e-1
26.30 8.6496 -8.6709e-1 1.2199e0 -9.9982e-1
26.40 8.3168 -9.6453e-1 1.1968e0 -9.9976e-1
26.50 8.0031 -1.0636e0 1.1941e0 -9.9967e-1
26.60 7.7118 -1.1586e0 1.1987e0 -9.9955e-1
