# R/Å F/kT U/kT C/R <exp(-u/kT)-1>
23.00 614.4767 6.0440e2 1.3907e-11 -1.0000e0
23.50 238.2452 2.2817e2 1.2893e-5 -1.0000e0
24.00 65.7331 5.5655e1 2.6813e-7 -1.0000e0
24.50 20.7821 1.0724e1 1.1195e-1 -1.0000e0
25.00 7.3259 -1.7730e0 6.2025e-1 -9.9934e-1
25.50 3.6215 -4.8001e0 5.5463e-1 -9.7326e-1
26.00 2.6033 -5.2319e0 1.1502e0 -9.2597e-1
26.50 2.1704 -4.7935e0 1.7252e0 -8.8587e-1
27.00 1.8225 -3.9944e0 1.0882e0 -8.3837e-1
27.50 1.1541 -4.0586e0 1.2315e0 -6.8466e-1
28.00 0.8510 -3.7864e0 1.0975e0 -5.7302e-1
28.50 0.6207 -3.5431e0 1.2722e0 -4.6245e-1
29.00 0.4104 -3.2666e0 1.1443e0 -3.3659e-1
29.50 0.1908 -3.1274e0 1.3054e0 -1.7373e-1
30.00 0.0655 -2.8485e0 1.2016e0 -6.3378e-2
30.50 -0.0955 -2.6854e0 1.2088e0 1.0025e-1
31.00 -0.2555 -2.6354e0 1.5051e0 2.9117e-1
31.50 -0.3942 -2.5596e0 1.6360e0 4.8325e-1
32.00 -0.4588 -2.4318e0 1.8009e0 5.8220e-1
32.50 -0.4557 -2.1321e0 1.2246e0 5.7735e-1
33.00 -0.4783 -1.9824e0 1.1589e0 6.1331e-1
33.50 -0.5054 -1.8882e0 1.2265e0 6.5771e-1
34.00 -0.5282 -1.8279e0 1.4308e0 6.9588e-1
34.50 -0.5135 -1.6584e0 1.2465e0 6.7106e-1
35.00 -0.5068 -1.5702e0 1.2458e0 6.5991e-1
35.50 -0.4813 -1.4548e0 1.1965e0 6.1814e-1
36.00 -0.4551 -1.3132e0 1.0381e0 5.7640e-1
36.50 -0.4407 -1.2024e0 9.2614e-1 5.5374e-1
37.00 -0.4290 -1.1244e0 9.1719e-1 5.3568e-1
37.50 -0.4244 -1.0594e0 9.1727e-1 5.2861e-1
38.00 -0.4222 -9.9364e-1 8.6247e-1 5.2538e-1
38.50 -0.4009 -8.9469e-1 7.5291e-1 4.9322e-1
39.00 -0.3750 -7.9926e-1 6.5854e-1 4.5503e-1
39.50 -0.3410 -6.9807e-1 5.5900e-1 4.0634e-1
40.00 -0.3097 -6.0959e-1 4.8340e-1 3.6298e-1
40.50 -0.2841 -5.4323e-1 4.4879e-1 3.2852e-1
41.00 -0.2562 -4.7158e-1 3.8056e-1 2.9196e-1
41.50 -0.2263 -4.0684e-1 3.2436e-1 2.5399e-1
42.00 -0.1935 -3.4227e-1 2.7401e-1 2.1354e-1
42.50 -0.1664 -2.8969e-1 2.2759e-1 1.8107e-1
43.00 -0.1429 -2.4624e-1 1.9685e-1 1.5365e-1
43.50 -0.1228 -2.0588e-1 1.5731e-1 1.3061e-1
44.00 -0.1059 -1.7451e-1 1.3188e-1 1.1169e-1
44.50 -0.0898 -1.4396e-1 1.0305e-1 9.4008e-2
45.00 -0.0764 -1.1777e-1 7.7586e-2 7.9398e-2
45.50 -0.0655 -9.7402e-2 6.0976e-2 6.7743e-2
46.00 -0.0560 -8.0242e-2 4.7103e-2 5.7606e-2
46.50 -0.0470 -6.5174e-2 3.6096e-2 4.8158e-2
47.00 -0.0386 -5.1130e-2 2.5126e-2 3.9391e-2
47.50 -0.0313 -3.9524e-2 1.6373e-2 3.1834e-2
48.00 -0.0251 -3.0268e-2 1.0274e-2 2.5390e-2
48.50 -0.0195 -2.2926e-2 6.5499e-3 1.9713e-2
49.00 -0.0151 -1.7048e-2 3.8572e-3 1.5178e-2
49.50 -0.0115 -1.2775e-2 2.2600e-3 1.1569e-2
50.00 -0.0086 -9.4557e-3 1.3033e-3 8.6395e-3
50.50 -0.0064 -6.9596e-3 7.5673e-4 6.4231e-3
51.00 -0.0049 -5.1910e-3 4.4701e-4 4.8945e-3
51.50 -0.0037 -3.8758e-3 2.8371e-4 3.6716e-3
52.00 -0.0028 -2.8887e-3 1.5594e-4 2.7635e-3
52.50 -0.0021 -2.1284e-3 8.9965e-5 2.0868e-3
53.00 -0.0016 -1.5774e-3 5.2189e-5 1.5531e-3
53.50 -0.0011 -1.1569e-3 2.9807e-5 1.1429e-3
54.00 -0.0008 -8.4484e-4 1.7013e-5 8.3678e-4
54.50 -0.0006 -6.1379e-4 9.6807e-6 6.0918e-4
55.00 -0.0004 -4.4333e-4 5.4743e-6 4.4071e-4
55.50 -0.0003 -3.1798e-4 3.0653e-6 3.1650e-4
56.00 -0.0002 -2.2586e-4 1.6930e-6 2.2504e-4
56.50 -0.0002 -1.5881e-4 9.2215e-7 1.5836e-4
57.00 -0.0001 -1.1045e-4 4.9543e-7 1.1021e-4
57.50 -0.0001 -7.5690e-5 2.6154e-7 7.5563e-5
58.00 -0.0001 -5.0956e-5 1.3512e-7 5.0890e-5
58.50 -0.0000 -3.3686e-5 6.8144e-8 3.3653e-5
59.00 -0.0000 -2.1850e-5 3.3535e-8 2.1834e-5
59.50 -0.0000 -1.3775e-5 1.5971e-8 1.3767e-5
