# R/Å F/kT U/kT C/R <exp(-u/kT)-1>
23.00 568.9327 5.5885e2 1.7082e-12 -1.0000e0
23.50 220.5110 2.1043e2 2.8230e-5 -1.0000e0
24.00 61.1491 5.1071e1 1.4663e-6 -1.0000e0
24.50 19.6028 9.5533e0 1.5268e-1 -1.0000e0
25.00 7.1774 -1.8387e0 6.5746e-1 -9.9924e-1
25.50 3.6991 -4.6632e0 5.7130e-1 -9.7526e-1
26.00 2.6263 -5.2222e0 1.3278e0 -9.2765e-1
26.50 2.2236 -4.7259e0 1.8496e0 -8.9178e-1
27.00 1.8857 -3.8767e0 1.0536e0 -8.4828e-1
27.50 1.2204 -3.9561e0 1.2653e0 -7.0489e-1
28.00 0.9167 -3.6906e0 1.1163e0 -6.0015e-1
28.50 0.6874 -3.4315e0 1.2360e0 -4.9710e-1
29.00 0.4635 -3.1804e0 1.1216e0 -3.7092e-1
29.50 0.2356 -3.0659e0 1.3201e0 -2.0992e-1
30.00 0.1125 -2.7799e0 1.1956e0 -1.0638e-1
30.50 -0.0522 -2.6262e0 1.2223e0 5.3591e-2
31.00 -0.2110 -2.5722e0 1.5132e0 2.3490e-1
31.50 -0.3517 -2.5054e0 1.6634e0 4.2142e-1
32.00 -0.4118 -2.3638e0 1.7886e0 5.0960e-1
32.50 -0.4104 -2.0665e0 1.2028e0 5.0738e-1
33.00 -0.4320 -1.9137e0 1.1275e0 5.4026e-1
33.50 -0.4576 -1.8144e0 1.1822e0 5.8032e-1
34.00 -0.4774 -1.7425e0 1.3531e0 6.1181e-1
34.50 -0.4628 -1.5723e0 1.1553e0 5.8846e-1
35.00 -0.4548 -1.4795e0 1.1427e0 5.7579e-1
35.50 -0.4285 -1.3585e0 1.0762e0 5.3499e-1
36.00 -0.4045 -1.2210e0 9.2612e-1 4.9855e-1
36.50 -0.3925 -1.1167e0 8.2844e-1 4.8061e-1
37.00 -0.3835 -1.0439e0 8.2626e-1 4.6734e-1
37.50 -0.3825 -9.8624e-1 8.3896e-1 4.6588e-1
38.00 -0.3824 -9.2514e-1 7.9229e-1 4.6585e-1
38.50 -0.3630 -8.2847e-1 6.8071e-1 4.3764e-1
39.00 -0.3392 -7.3579e-1 5.8373e-1 4.0379e-1
39.50 -0.3086 -6.4087e-1 4.9096e-1 3.6146e-1
40.00 -0.2806 -5.5826e-1 4.1989e-1 3.2392e-1
40.50 -0.2575 -4.9531e-1 3.8492e-1 2.9373e-1
41.00 -0.2327 -4.2951e-1 3.2502e-1 2.6195e-1
41.50 -0.2056 -3.6994e-1 2.7494e-1 2.2823e-1
42.00 -0.1757 -3.1058e-1 2.3006e-1 1.9212e-1
42.50 -0.1511 -2.6278e-1 1.9121e-1 1.6314e-1
43.00 -0.1297 -2.2291e-1 1.6489e-1 1.3850e-1
43.50 -0.1115 -1.8636e-1 1.3187e-1 1.1794e-1
44.00 -0.0961 -1.5767e-1 1.1021e-1 1.0089e-1
44.50 -0.0816 -1.3002e-1 8.5945e-2 8.5039e-2
45.00 -0.0696 -1.0661e-1 6.5110e-2 7.2053e-2
45.50 -0.0599 -8.8295e-2 5.1298e-2 6.1688e-2
46.00 -0.0513 -7.2918e-2 3.9812e-2 5.2642e-2
46.50 -0.0432 -5.9331e-2 3.0544e-2 4.4144e-2
47.00 -0.0356 -4.6693e-2 2.1384e-2 3.6234e-2
47.50 -0.0289 -3.6191e-2 1.3993e-2 2.9366e-2
48.00 -0.0232 -2.7817e-2 8.7777e-3 2.3493e-2
48.50 -0.0181 -2.1131e-2 5.6291e-3 1.8274e-2
49.00 -0.0140 -1.5765e-2 3.3208e-3 1.4105e-2
49.50 -0.0107 -1.1840e-2 1.9484e-3 1.0759e-2
50.00 -0.0080 -8.7795e-3 1.1290e-3 8.0365e-3
50.50 -0.0060 -6.4704e-3 6.5897e-4 5.9771e-3
51.00 -0.0045 -4.8305e-3 3.8828e-4 4.5597e-3
51.50 -0.0034 -3.6074e-3 2.5006e-4 3.4201e-3
52.00 -0.0026 -2.6908e-3 1.3549e-4 2.5748e-3
52.50 -0.0019 -1.9833e-3 7.8294e-5 1.9470e-3
53.00 -0.0014 -1.4702e-3 4.5428e-5 1.4489e-3
53.50 -0.0011 -1.0784e-3 2.5961e-5 1.0662e-3
54.00 -0.0008 -7.8756e-4 1.4820e-5 7.8053e-4
54.50 -0.0006 -5.7216e-4 8.4328e-6 5.6814e-4
55.00 -0.0004 -4.1325e-4 4.7679e-6 4.1096e-4
55.50 -0.0003 -2.9637e-4 2.6688e-6 2.9508e-4
56.00 -0.0002 -2.1051e-4 1.4732e-6 2.0979e-4
56.50 -0.0001 -1.4802e-4 8.0178e-7 1.4764e-4
57.00 -0.0001 -1.0296e-4 4.3036e-7 1.0275e-4
57.50 -0.0001 -7.0577e-5 2.2699e-7 7.0467e-5
58.00 -0.0000 -4.7528e-5 1.1715e-7 4.7471e-5
58.50 -0.0000 -3.1428e-5 5.9000e-8 3.1399e-5
59.00 -0.0000 -2.0388e-5 2.8986e-8 2.0373e-5
59.50 -0.0000 -1.2851e-5 1.3776e-8 1.2844e-5
