# R/Å F/kT U/kT C/R <exp(-u/kT)-1>
23.00 597.3557 5.8728e2 1.5710e-11 -1.0000e0
23.50 231.7801 2.2170e2 1.9636e-5 -1.0000e0
24.00 64.1553 5.4077e1 4.6332e-7 -1.0000e0
24.50 20.4771 1.0422e1 1.2715e-1 -1.0000e0
25.00 7.3756 -1.7049e0 6.3493e-1 -9.9937e-1
25.50 3.7566 -4.6490e0 5.6254e-1 -9.7664e-1
26.00 2.7500 -5.0528e0 1.1297e0 -9.3607e-1
26.50 2.3050 -4.6108e0 1.6590e0 -9.0024e-1
27.00 1.9346 -3.8518e0 1.0474e0 -8.5552e-1
27.50 1.2679 -3.9102e0 1.1791e0 -7.1859e-1
28.00 0.9573 -3.6494e0 1.0585e0 -6.1608e-1
28.50 0.7202 -3.4081e0 1.2129e0 -5.1335e-1
29.00 0.5021 -3.1427e0 1.0917e0 -3.9477e-1
29.50 0.2786 -3.0034e0 1.2355e0 -2.4316e-1
30.00 0.1453 -2.7353e0 1.1352e0 -1.3525e-1
30.50 -0.0202 -2.5764e0 1.1409e0 2.0436e-2
31.00 -0.1818 -2.5201e0 1.4023e0 1.9934e-1
31.50 -0.3227 -2.4431e0 1.5143e0 3.8083e-1
32.00 -0.3909 -2.3149e0 1.6369e0 4.7834e-1
32.50 -0.3961 -2.0386e0 1.1379e0 4.8595e-1
33.00 -0.4228 -1.8950e0 1.0788e0 5.2627e-1
33.50 -0.4526 -1.8016e0 1.1379e0 5.7243e-1
34.00 -0.4771 -1.7376e0 1.3131e0 6.1146e-1
34.50 -0.4671 -1.5779e0 1.1447e0 5.9539e-1
35.00 -0.4629 -1.4922e0 1.1441e0 5.8871e-1
35.50 -0.4407 -1.3814e0 1.1005e0 5.5374e-1
36.00 -0.4185 -1.2479e0 9.5817e-1 5.1964e-1
36.50 -0.4071 -1.1433e0 8.5602e-1 5.0240e-1
37.00 -0.3976 -1.0678e0 8.4419e-1 4.8820e-1
37.50 -0.3948 -1.0046e0 8.4260e-1 4.8406e-1
38.00 -0.3945 -9.4223e-1 7.9354e-1 4.8367e-1
38.50 -0.3760 -8.4900e-1 6.9416e-1 4.5638e-1
39.00 -0.3527 -7.5880e-1 6.0677e-1 4.2289e-1
39.50 -0.3215 -6.6316e-1 5.1496e-1 3.7915e-1
40.00 -0.2926 -5.7923e-1 4.4432e-1 3.3993e-1
40.50 -0.2689 -5.1572e-1 4.1107e-1 3.0850e-1
41.00 -0.2430 -4.4796e-1 3.4878e-1 2.7505e-1
41.50 -0.2149 -3.8655e-1 2.9688e-1 2.3980e-1
42.00 -0.1840 -3.2519e-1 2.5003e-1 2.0197e-1
42.50 -0.1583 -2.7534e-1 2.0772e-1 1.7154e-1
43.00 -0.1360 -2.3396e-1 1.7941e-1 1.4573e-1
43.50 -0.1170 -1.9580e-1 1.4371e-1 1.2411e-1
44.00 -0.1010 -1.6601e-1 1.2053e-1 1.0627e-1
44.50 -0.0858 -1.3710e-1 9.4390e-2 8.9604e-2
45.00 -0.0731 -1.1233e-1 7.1279e-2 7.5838e-2
45.50 -0.0628 -9.2991e-2 5.6096e-2 6.4829e-2
46.00 -0.0538 -7.6692e-2 4.3396e-2 5.5227e-2
46.50 -0.0452 -6.2351e-2 3.3280e-2 4.6243e-2
47.00 -0.0372 -4.9001e-2 2.3225e-2 3.7899e-2
47.50 -0.0302 -3.7959e-2 1.5196e-2 3.0686e-2
48.00 -0.0242 -2.9130e-2 9.5544e-3 2.4516e-2
48.50 -0.0189 -2.2098e-2 6.1078e-3 1.9054e-2
49.00 -0.0146 -1.6461e-2 3.6012e-3 1.4690e-2
49.50 -0.0111 -1.2352e-2 2.1135e-3 1.1205e-2
50.00 -0.0083 -9.1523e-3 1.2220e-3 8.3701e-3
50.50 -0.0062 -6.7418e-3 7.1138e-4 6.2252e-3
51.00 -0.0047 -5.0307e-3 4.1952e-4 4.7462e-3
51.50 -0.0036 -3.7582e-3 2.6814e-4 3.5613e-3
52.00 -0.0027 -2.8020e-3 1.4648e-4 2.6810e-3
52.50 -0.0020 -2.0649e-3 8.4814e-5 2.0256e-3
53.00 -0.0015 -1.5311e-3 4.9130e-5 1.5082e-3
53.50 -0.0011 -1.1233e-3 2.8097e-5 1.1101e-3
54.00 -0.0008 -8.2045e-4 1.6046e-5 8.1285e-4
54.50 -0.0006 -5.9615e-4 9.1331e-6 5.9180e-4
55.00 -0.0004 -4.3063e-4 5.1657e-6 4.2816e-4
55.50 -0.0003 -3.0889e-4 2.8929e-6 3.0750e-4
56.00 -0.0002 -2.1942e-4 1.5979e-6 2.1865e-4
56.50 -0.0002 -1.5429e-4 8.7045e-7 1.5387e-4
57.00 -0.0001 -1.0731e-4 4.6768e-7 1.0708e-4
57.50 -0.0001 -7.3541e-5 2.4691e-7 7.3421e-5
58.00 -0.0000 -4.9510e-5 1.2756e-7 4.9448e-5
58.50 -0.0000 -3.2731e-5 6.4334e-8 3.2700e-5
59.00 -0.0000 -2.1231e-5 3.1661e-8 2.1215e-5
59.50 -0.0000 -1.3384e-5 1.5079e-8 1.3377e-5
