# R/Å F/kT U/kT C/R <exp(-u/kT)-1>
23.00 593.6140 5.8354e2 1.1527e-10 -1.0000e0
23.50 229.8046 2.1973e2 1.5168e-5 -1.0000e0
24.00 63.4046 5.3326e1 6.7792e-7 -1.0000e0
24.50 20.0246 9.9691e0 1.2650e-1 -1.0000e0
25.00 7.0955 -1.9486e0 6.4028e-1 -9.9917e-1
25.50 3.4926 -4.8941e0 5.5695e-1 -9.6958e-1
26.00 2.3943 -5.5125e0 1.3761e0 -9.0877e-1
26.50 2.0131 -5.0191e0 1.9726e0 -8.6642e-1
27.00 1.7134 -4.0958e0 1.1153e0 -8.1976e-1
27.50 1.0444 -4.1887e0 1.3621e0 -6.4811e-1
28.00 0.7526 -3.9043e0 1.1832e0 -5.2884e-1
28.50 0.5346 -3.6396e0 1.3294e0 -4.1409e-1
29.00 0.3219 -3.3722e0 1.2041e0 -2.7523e-1
29.50 0.0989 -3.2621e0 1.4375e0 -9.4162e-2
30.00 -0.0115 -2.9579e0 1.3037e0 1.1546e-2
30.50 -0.1694 -2.7987e0 1.3369e0 1.8461e-1
31.00 -0.3261 -2.7565e0 1.6903e0 3.8556e-1
31.50 -0.4640 -2.6941e0 1.8784e0 5.9037e-1
32.00 -0.5180 -2.5534e0 2.0821e0 6.7874e-1
32.50 -0.5028 -2.2140e0 1.3480e0 6.5341e-1
33.00 -0.5176 -2.0509e0 1.2599e0 6.7798e-1
33.50 -0.5389 -1.9499e0 1.3272e0 7.1418e-1
34.00 -0.5557 -1.8834e0 1.5450e0 7.4312e-1
34.50 -0.5334 -1.6962e0 1.3159e0 7.0465e-1
35.00 -0.5212 -1.5987e0 1.3007e0 6.8411e-1
35.50 -0.4896 -1.4691e0 1.2213e0 6.3165e-1
36.00 -0.4593 -1.3184e0 1.0449e0 5.8304e-1
36.50 -0.4426 -1.2048e0 9.3316e-1 5.5674e-1
37.00 -0.4304 -1.1289e0 9.3792e-1 5.3784e-1
37.50 -0.4269 -1.0694e0 9.5613e-1 5.3242e-1
38.00 -0.4241 -1.0033e0 9.0094e-1 5.2818e-1
38.50 -0.4003 -8.9705e-1 7.7057e-1 4.9223e-1
39.00 -0.3723 -7.9572e-1 6.6064e-1 4.5100e-1
39.50 -0.3373 -6.9225e-1 5.5554e-1 4.0123e-1
40.00 -0.3057 -6.0268e-1 4.7637e-1 3.5754e-1
40.50 -0.2798 -5.3535e-1 4.3886e-1 3.2285e-1
41.00 -0.2519 -4.6380e-1 3.7032e-1 2.8653e-1
41.50 -0.2222 -3.9925e-1 3.1372e-1 2.4881e-1
42.00 -0.1897 -3.3517e-1 2.6363e-1 2.0886e-1
42.50 -0.1629 -2.8343e-1 2.1910e-1 1.7694e-1
43.00 -0.1397 -2.4055e-1 1.8938e-1 1.4995e-1
43.50 -0.1198 -2.0082e-1 1.5093e-1 1.2733e-1
44.00 -0.1032 -1.6984e-1 1.2605e-1 1.0870e-1
44.50 -0.0874 -1.3982e-1 9.7955e-2 9.1381e-2
45.00 -0.0743 -1.1438e-1 7.3893e-2 7.7182e-2
45.50 -0.0638 -9.4606e-2 5.8107e-2 6.5890e-2
46.00 -0.0546 -7.8007e-2 4.5002e-2 5.6079e-2
46.50 -0.0458 -6.3385e-2 3.4481e-2 4.6915e-2
47.00 -0.0377 -4.9757e-2 2.4054e-2 3.8395e-2
47.50 -0.0306 -3.8443e-2 1.5643e-2 3.1027e-2
48.00 -0.0245 -2.9455e-2 9.7828e-3 2.4761e-2
48.50 -0.0190 -2.2326e-2 6.2484e-3 1.9230e-2
49.00 -0.0147 -1.6616e-2 3.6802e-3 1.4814e-2
49.50 -0.0112 -1.2454e-2 2.1543e-3 1.1290e-2
50.00 -0.0084 -9.2196e-3 1.2431e-3 8.4285e-3
50.50 -0.0062 -6.7866e-3 7.2255e-4 6.2653e-3
51.00 -0.0048 -5.0620e-3 4.2613e-4 4.7745e-3
51.50 -0.0036 -3.7782e-3 2.7162e-4 3.5802e-3
52.00 -0.0027 -2.8160e-3 1.4843e-4 2.6941e-3
52.50 -0.0020 -2.0746e-3 8.5636e-5 2.0350e-3
53.00 -0.0015 -1.5372e-3 4.9664e-5 1.5140e-3
53.50 -0.0011 -1.1272e-3 2.8361e-5 1.1139e-3
54.00 -0.0008 -8.2302e-4 1.6182e-5 8.1536e-4
54.50 -0.0006 -5.9782e-4 9.2046e-6 5.9343e-4
55.00 -0.0004 -4.3172e-4 5.2030e-6 4.2923e-4
55.50 -0.0003 -3.0958e-4 2.9117e-6 3.0818e-4
56.00 -0.0002 -2.1987e-4 1.6070e-6 2.1909e-4
56.50 -0.0002 -1.5460e-4 8.7452e-7 1.5418e-4
57.00 -0.0001 -1.0753e-4 4.6936e-7 1.0730e-4
57.50 -0.0001 -7.3705e-5 2.4755e-7 7.3584e-5
58.00 -0.0000 -4.9633e-5 1.2775e-7 4.9570e-5
58.50 -0.0000 -3.2818e-5 6.4336e-8 3.2787e-5
59.00 -0.0000 -2.1289e-5 3.1606e-8 2.1274e-5
59.50 -0.0000 -1.3419e-5 1.5021e-8 1.3412e-5
