# R/Å F/kT U/kT C/R <exp(-u/kT)-1>
23.00 536.6337 5.2656e2 1.2456e-11 -1.0000e0
23.50 208.7685 1.9869e2 8.1807e-5 -1.0000e0
24.00 58.5000 4.8421e1 3.3061e-6 -1.0000e0
24.50 19.3379 9.3002e0 1.9811e-1 -1.0000e0
25.00 7.5016 -1.5016e0 6.8114e-1 -9.9945e-1
25.50 4.1878 -4.1519e0 5.9291e-1 -9.8482e-1
26.00 3.2083 -4.4883e0 1.0854e0 -9.5958e-1
26.50 2.7246 -4.0386e0 1.4688e0 -9.3443e-1
27.00 2.2893 -3.3935e0 9.2294e-1 -8.9867e-1
27.50 1.6283 -3.4381e0 1.0242e0 -8.0373e-1
28.00 1.2944 -3.2112e0 9.4204e-1 -7.2593e-1
28.50 1.0347 -2.9791e0 1.0309e0 -6.4466e-1
29.00 0.7911 -2.7515e0 9.3271e-1 -5.4665e-1
29.50 0.5532 -2.6175e0 1.0314e0 -4.2490e-1
30.00 0.3963 -2.3816e0 9.4194e-1 -3.2719e-1
30.50 0.2158 -2.2381e0 9.4319e-1 -1.9412e-1
31.00 0.0483 -2.1672e0 1.1119e0 -4.7152e-2
31.50 -0.1002 -2.0905e0 1.1762e0 1.0541e-1
32.00 -0.1800 -1.9661e0 1.2068e0 1.9718e-1
32.50 -0.2086 -1.7513e0 8.9365e-1 2.3190e-1
33.00 -0.2480 -1.6251e0 8.4817e-1 2.8146e-1
33.50 -0.2863 -1.5353e0 8.8331e-1 3.3156e-1
34.00 -0.3170 -1.4635e0 9.8268e-1 3.7299e-1
34.50 -0.3208 -1.3315e0 8.5666e-1 3.7824e-1
35.00 -0.3242 -1.2531e0 8.5390e-1 3.8296e-1
35.50 -0.3118 -1.1550e0 8.2113e-1 3.6590e-1
36.00 -0.3015 -1.0451e0 7.2156e-1 3.5184e-1
36.50 -0.2995 -9.5871e-1 6.4792e-1 3.4916e-1
37.00 -0.2972 -8.9216e-1 6.3243e-1 3.4605e-1
37.50 -0.3006 -8.3610e-1 6.2833e-1 3.5073e-1
38.00 -0.3062 -7.8375e-1 5.9445e-1 3.5819e-1
38.50 -0.2960 -7.0707e-1 5.2213e-1 3.4441e-1
39.00 -0.2809 -6.3253e-1 4.5455e-1 3.2426e-1
39.50 -0.2585 -5.5378e-1 3.8538e-1 2.9494e-1
40.00 -0.2374 -4.8407e-1 3.3024e-1 2.6801e-1
40.50 -0.2197 -4.2966e-1 3.0184e-1 2.4574e-1
41.00 -0.2002 -3.7376e-1 2.5602e-1 2.2162e-1
41.50 -0.1779 -3.2282e-1 2.1687e-1 1.9473e-1
42.00 -0.1528 -2.7156e-1 1.8086e-1 1.6504e-1
42.50 -0.1318 -2.3022e-1 1.5039e-1 1.4093e-1
43.00 -0.1135 -1.9535e-1 1.2931e-1 1.2022e-1
43.50 -0.0981 -1.6394e-1 1.0428e-1 1.0306e-1
44.00 -0.0849 -1.3905e-1 8.7530e-2 8.8638e-2
44.50 -0.0725 -1.1519e-1 6.8997e-2 7.5187e-2
45.00 -0.0621 -9.4858e-2 5.2632e-2 6.4117e-2
45.50 -0.0537 -7.8759e-2 4.1611e-2 5.5195e-2
46.00 -0.0462 -6.5196e-2 3.2347e-2 4.7330e-2
46.50 -0.0391 -5.3172e-2 2.4882e-2 3.9859e-2
47.00 -0.0324 -4.2030e-2 1.7506e-2 3.2900e-2
47.50 -0.0265 -3.2785e-2 1.1612e-2 2.6820e-2
48.00 -0.0213 -2.5340e-2 7.3411e-3 2.1552e-2
48.50 -0.0167 -1.9319e-2 4.7379e-3 1.6810e-2
49.00 -0.0129 -1.4474e-2 2.8016e-3 1.3019e-2
49.50 -0.0099 -1.0911e-2 1.6520e-3 9.9507e-3
50.00 -0.0074 -8.1144e-3 9.6488e-4 7.4411e-3
50.50 -0.0055 -5.9934e-3 5.6783e-4 5.5408e-3
51.00 -0.0042 -4.4827e-3 3.3413e-4 4.2358e-3
51.50 -0.0032 -3.3518e-3 2.1919e-4 3.1798e-3
52.00 -0.0024 -2.5042e-3 1.1716e-4 2.3965e-3
52.50 -0.0018 -1.8476e-3 6.7871e-5 1.8161e-3
53.00 -0.0014 -1.3709e-3 3.9440e-5 1.3525e-3
53.50 -0.0010 -1.0064e-3 2.2572e-5 9.9572e-4
54.00 -0.0007 -7.3538e-4 1.2901e-5 7.2926e-4
54.50 -0.0005 -5.3453e-4 7.3480e-6 5.3103e-4
55.00 -0.0004 -3.8624e-4 4.1582e-6 3.8424e-4
55.50 -0.0003 -2.7711e-4 2.3295e-6 2.7598e-4
56.00 -0.0002 -1.9688e-4 1.2870e-6 1.9626e-4
56.50 -0.0001 -1.3846e-4 7.0116e-7 1.3812e-4
57.00 -0.0001 -9.6313e-5 3.7673e-7 9.6130e-5
57.50 -0.0001 -6.6014e-5 1.9889e-7 6.5917e-5
58.00 -0.0000 -4.4448e-5 1.0275e-7 4.4398e-5
58.50 -0.0000 -2.9388e-5 5.1811e-8 2.9362e-5
59.00 -0.0000 -1.9063e-5 2.5492e-8 1.9051e-5
59.50 -0.0000 -1.2018e-5 1.2137e-8 1.2012e-5
