# R/Å F/kT U/kT C/R <exp(-u/kT)-1>
20.00 inf NaN NaN -1.0000e0
20.50 inf NaN NaN -1.0000e0
21.00 inf NaN NaN -1.0000e0
21.50 inf NaN NaN -1.0000e0
22.00 inf NaN NaN -1.0000e0
22.50 inf NaN NaN -1.0000e0
23.00 inf NaN NaN -1.0000e0
23.50 634.7966 6.2481e2 0.0000e0 -1.0000e0
24.00 145.3030 1.3531e2 0.0000e0 -1.0000e0
24.50 30.6275 2.0638e1 0.0000e0 -1.0000e0
25.00 3.1219 -6.8673e0 -9.2500e-15 -9.5593e-1
25.50 -2.5740 -1.2563e1 9.0344e-6 1.2119e1
26.00 -2.5361 -1.2519e1 4.6307e-2 1.1631e1
26.50 -2.2952 -1.1204e1 1.3215e0 8.9268e0
27.00 -5.0840 -1.4261e1 2.0570e0 1.6042e2
27.50 -7.4664 -1.6842e1 1.6782e0 1.7472e3
28.00 -8.0019 -1.6816e1 1.2190e0 2.9855e3
28.50 -9.5309 -1.9129e1 1.3656e0 1.3778e4
29.00 -8.1450 -1.7216e1 3.2481e0 3.4450e3
29.50 -7.1561 -1.4544e1 3.4012e0 1.2809e3
30.00 -7.2653 -1.4503e1 3.2343e0 1.4288e3
30.50 -6.7543 -1.3484e1 3.1493e0 8.5670e2
31.00 -5.9426 -1.2155e1 4.0321e0 3.7994e2
31.50 -6.3408 -1.3392e1 5.1423e0 5.6625e2
32.00 -6.4436 -1.3422e1 3.7329e0 6.2770e2
32.50 -5.8503 -1.2222e1 4.4436e0 3.4634e2
33.00 -6.7393 -1.4622e1 5.9719e0 8.4395e2
33.50 -6.7769 -1.5222e1 6.2727e0 8.7635e2
34.00 -5.1633 -1.1575e1 8.2460e0 1.7374e2
34.50 -4.9482 -1.0385e1 5.0787e0 1.3992e2
35.00 -4.7168 -9.7460e0 4.4749e0 1.1082e2
35.50 -4.9959 -1.1743e1 1.0093e1 1.4680e2
36.00 -4.7678 -1.0565e1 7.4969e0 1.1667e2
36.50 -4.7336 -1.0237e1 6.1076e0 1.1270e2
37.00 -6.0511 -1.4235e1 7.6859e0 4.2356e2
37.50 -7.5597 -1.7044e1 3.0123e0 1.9182e3
38.00 -6.1678 -1.4900e1 6.4874e0 4.7613e2
38.50 -4.6385 -1.1024e1 9.2806e0 1.0239e2
39.00 -4.3759 -1.0174e1 7.8904e0 7.8511e1
39.50 -4.5756 -1.0981e1 8.8298e0 9.6090e1
40.00 -4.0122 -9.0942e0 7.1082e0 5.4269e1
40.50 -3.6539 -8.2260e0 6.9144e0 3.7623e1
41.00 -3.3384 -7.4756e0 6.3513e0 2.7173e1
41.50 -3.1017 -7.0589e0 6.7760e0 2.1237e1
42.00 -3.2133 -7.7440e0 8.1218e0 2.3862e1
42.50 -3.0938 -7.6334e0 8.3936e0 2.1061e1
43.00 -2.6015 -6.2084e0 6.8828e0 1.2483e1
43.50 -2.3494 -5.7178e0 6.9317e0 9.4794e0
44.00 -2.4388 -6.7915e0 1.1269e1 1.0460e1
44.50 -2.2480 -5.9566e0 8.7456e0 8.4686e0
45.00 -2.0748 -5.3564e0 7.3002e0 6.9632e0
45.50 -1.9869 -5.5175e0 9.4351e0 6.2932e0
46.00 -2.5918 -8.9475e0 1.6121e1 1.2354e1
46.50 -2.4983 -8.5705e0 1.4209e1 1.1162e1
47.00 -2.0461 -7.0133e0 1.3488e1 6.7377e0
47.50 -1.9808 -7.0024e0 1.4024e1 6.2488e0
48.00 -1.6888 -6.2011e0 1.4318e1 4.4131e0
48.50 -1.2503 -4.4254e0 1.1877e1 2.4915e0
49.00 -1.1320 -3.9197e0 1.0205e1 2.1020e0
49.50 -1.0261 -3.8399e0 1.1826e1 1.7903e0
50.00 -0.7103 -2.4793e0 7.8207e0 1.0345e0
50.50 -0.5062 -1.6011e0 4.6391e0 6.5905e-1
51.00 -0.4137 -1.3063e0 3.9053e0 5.1246e-1
51.50 -0.3265 -9.6264e-1 2.6883e0 3.8614e-1
52.00 -0.2731 -7.7411e-1 2.0747e0 3.1401e-1
52.50 -0.2045 -5.3509e-1 1.2964e0 2.2697e-1
53.00 -0.1382 -3.2366e-1 6.6570e-1 1.4819e-1
53.50 -0.0895 -1.8739e-1 3.1684e-1 9.3602e-2
54.00 -0.0575 -1.1023e-1 1.5522e-1 5.9209e-2
54.50 -0.0365 -6.5969e-2 7.9596e-2 3.7220e-2
55.00 -0.0222 -3.8667e-2 4.1559e-2 2.2464e-2
55.50 -0.0125 -2.1806e-2 2.2187e-2 1.2599e-2
56.00 -0.0058 -1.1170e-2 1.2431e-2 5.8269e-3
56.50 -0.0010 -4.1636e-3 7.1052e-3 1.0379e-3
57.00 0.0024 5.7575e-4 4.1069e-3 -2.4140e-3
57.50 0.0049 3.7656e-3 2.4104e-3 -4.8663e-3
58.00 0.0066 5.8702e-3 1.4498e-3 -6.5350e-3
58.50 0.0076 7.1888e-3 9.0561e-4 -7.5976e-3
59.00 0.0082 7.9519e-3 5.9832e-4 -8.2120e-3
59.50 0.0085 8.3323e-3 4.2100e-4 -8.5052e-3
