# R/Å F/kT U/kT C/R <exp(-u/kT)-1>
20.00 inf NaN NaN -1.0000e0
20.50 inf NaN NaN -1.0000e0
21.00 inf NaN NaN -1.0000e0
21.50 inf NaN NaN -1.0000e0
22.00 inf NaN NaN -1.0000e0
22.50 inf NaN NaN -1.0000e0
23.00 inf NaN NaN -1.0000e0
23.50 588.2887 5.7823e2 3.7888e-11 -1.0000e0
24.00 269.7833 2.5986e2 2.4534e-1 -1.0000e0
24.50 56.1730 4.6184e1 0.0000e0 -1.0000e0
25.00 1.2304 -8.7588e0 5.5500e-14 -7.0782e-1
25.50 -11.3306 -2.1320e1 5.8729e-5 8.3336e4
26.00 -12.2110 -2.2186e1 7.9663e-2 2.0099e5
26.50 -10.4208 -1.9252e1 1.2593e0 3.3549e4
27.00 -11.4418 -1.9712e1 1.2917e0 9.3130e4
27.50 -12.5482 -2.0573e1 1.4404e0 2.8159e5
28.00 -14.8051 -2.4448e1 1.6599e0 2.6900e6
28.50 -12.9511 -2.1523e1 3.1141e0 4.2129e5
29.00 -12.1201 -1.9273e1 2.1984e0 1.8351e5
29.50 -12.3225 -2.0087e1 3.9580e0 2.2470e5
30.00 -12.3384 -2.0292e1 4.0439e0 2.2829e5
30.50 -11.7791 -1.8904e1 3.1196e0 1.3049e5
31.00 -11.5780 -1.9037e1 3.7268e0 1.0673e5
31.50 -11.3265 -1.8362e1 3.2736e0 8.2988e4
32.00 -10.7671 -1.7366e1 3.4826e0 4.7435e4
32.50 -11.6401 -2.0116e1 5.1643e0 1.1356e5
33.00 -11.8382 -2.0101e1 3.6597e0 1.3844e5
33.50 -10.7714 -1.7852e1 3.3774e0 4.7637e4
34.00 -9.5226 -1.5487e1 4.1100e0 1.3665e4
34.50 -9.3349 -1.5459e1 5.5044e0 1.1326e4
35.00 -8.9404 -1.4555e1 5.0438e0 7.6332e3
35.50 -8.7130 -1.4099e1 4.1028e0 6.0806e3
36.00 -8.6848 -1.4177e1 4.3936e0 5.9116e3
36.50 -9.7612 -1.7083e1 6.4051e0 1.7347e4
37.00 -9.3028 -1.5494e1 4.7796e0 1.0968e4
37.50 -9.8536 -1.7427e1 6.4931e0 1.9025e4
38.00 -8.9740 -1.5364e1 5.6109e0 7.8942e3
38.50 -8.2511 -1.3809e1 4.9166e0 3.8310e3
39.00 -8.0078 -1.3569e1 5.5327e0 3.0034e3
39.50 -8.0509 -1.3928e1 5.7267e0 3.1357e3
40.00 -8.5565 -1.5922e1 7.5333e0 5.1993e3
40.50 -7.7741 -1.3842e1 6.3117e0 2.3771e3
41.00 -7.1939 -1.2520e1 5.1216e0 1.3303e3
41.50 -7.6642 -1.5275e1 9.1147e0 2.1298e3
42.00 -7.1948 -1.4174e1 8.6627e0 1.3315e3
42.50 -6.4191 -1.1729e1 5.6389e0 6.1245e2
43.00 -5.9800 -1.0937e1 5.5278e0 3.9446e2
43.50 -6.6209 -1.3942e1 9.5244e0 7.4959e2
44.00 -6.2616 -1.3126e1 8.3388e0 5.2303e2
44.50 -5.6565 -1.1572e1 8.1425e0 2.8514e2
45.00 -5.6188 -1.1448e1 6.6579e0 2.7457e2
45.50 -5.8989 -1.2940e1 8.5068e0 3.6364e2
46.00 -5.4366 -1.1945e1 8.1355e0 2.2866e2
46.50 -5.3175 -1.2349e1 8.5590e0 2.0287e2
47.00 -4.5890 -1.0591e1 8.2789e0 9.7398e1
47.50 -4.0586 -9.3354e0 7.4464e0 5.6895e1
48.00 -3.4951 -8.0114e0 6.7905e0 3.1954e1
48.50 -3.3111 -7.7005e0 6.5806e0 2.6415e1
49.00 -3.1350 -7.5989e0 7.2057e0 2.1988e1
49.50 -2.7493 -6.8392e0 7.1680e0 1.4631e1
50.00 -2.3837 -6.3370e0 8.4134e0 9.8451e0
50.50 -2.0248 -5.5403e0 8.4191e0 6.5742e0
51.00 -1.8615 -5.3984e0 9.3399e0 5.4337e0
51.50 -1.6656 -4.9295e0 8.9087e0 4.2891e0
52.00 -1.4839 -4.5494e0 9.2157e0 3.4099e0
52.50 -1.2276 -3.7475e0 8.1066e0 2.4131e0
53.00 -0.9143 -2.7199e0 6.3894e0 1.4950e0
53.50 -0.6412 -1.7911e0 4.3425e0 8.9877e-1
54.00 -0.4651 -1.2272e0 2.9994e0 5.9210e-1
54.50 -0.3334 -8.2104e-1 1.9547e0 3.9569e-1
55.00 -0.2323 -5.1025e-1 1.0827e0 2.6148e-1
55.50 -0.1674 -3.2806e-1 5.9393e-1 1.8226e-1
56.00 -0.1244 -2.2163e-1 3.4059e-1 1.3244e-1
56.50 -0.0930 -1.5176e-1 1.9289e-1 9.7452e-2
57.00 -0.0695 -1.0428e-1 1.0658e-1 7.1922e-2
57.50 -0.0518 -7.2315e-2 5.8188e-2 5.3198e-2
58.00 -0.0386 -5.0723e-2 3.2048e-2 3.9382e-2
58.50 -0.0288 -3.6062e-2 1.8169e-2 2.9195e-2
59.00 -0.0214 -2.5890e-2 1.0752e-2 2.1596e-2
59.50 -0.0157 -1.8598e-2 6.6271e-3 1.5828e-2
