# R/Å F/kT U/kT C/R <exp(-u/kT)-1>
20.00 inf NaN NaN -1.0000e0
20.50 inf NaN NaN -1.0000e0
21.00 inf NaN NaN -1.0000e0
21.50 inf NaN NaN -1.0000e0
22.00 inf NaN NaN -1.0000e0
22.50 inf NaN NaN -1.0000e0
23.00 inf NaN NaN -1.0000e0
23.50 589.4885 5.7950e2 0.0000e0 -1.0000e0
24.00 105.4397 9.5451e1 -1.1840e-12 -1.0000e0
24.50 -4.4587 -1.4448e1 0.0000e0 8.5375e1
25.00 -27.7203 -3.7709e1 0.0000e0 1.0933e12
25.50 -29.6725 -3.9662e1 1.8670e-7 7.7017e12
26.00 -26.3077 -3.6295e1 1.7103e-2 2.6624e11
26.50 -26.7848 -3.5896e1 1.2030e0 4.2902e11
27.00 -28.4854 -3.7839e1 1.5527e0 2.3500e12
27.50 -29.3618 -3.8743e1 1.4468e0 5.6449e12
28.00 -32.4957 -4.2360e1 3.1349e-1 1.2963e14
28.50 -33.0771 -4.2987e1 9.9258e-2 2.3185e14
29.00 -28.6254 -3.8120e1 1.5840e0 2.7031e12
29.50 -27.2704 -3.6111e1 1.6408e0 6.9722e11
30.00 -27.9069 -3.7189e1 1.8209e0 1.3177e12
30.50 -27.2891 -3.6470e1 1.7191e0 7.1039e11
31.00 -25.1370 -3.3633e1 1.7087e0 8.2580e10
31.50 -24.5359 -3.2353e1 1.1018e0 4.5271e10
32.00 -23.2898 -3.1132e1 2.7445e0 1.3021e10
32.50 -22.9328 -3.0488e1 2.3378e0 9.1114e9
33.00 -24.8109 -3.3160e1 1.5534e0 5.9600e10
33.50 -23.8490 -3.2233e1 1.1251e0 2.2778e10
34.00 -20.8991 -2.8629e1 3.1873e0 1.1923e9
34.50 -20.2660 -2.7479e1 2.6873e0 6.3301e8
35.00 -21.4819 -3.0740e1 2.9970e0 2.1353e9
35.50 -19.9857 -2.7840e1 2.9571e0 4.7829e8
36.00 -21.1089 -2.9220e1 2.1370e0 1.4706e9
36.50 -22.1944 -3.1583e1 2.3722e0 4.3543e9
37.00 -24.4695 -3.4246e1 6.1044e-1 4.2359e10
37.50 -24.1649 -3.4042e1 3.3192e-1 3.1237e10
38.00 -21.6876 -3.0368e1 9.3873e-1 2.6230e9
38.50 -19.7353 -2.8187e1 2.4349e0 3.7234e8
39.00 -19.8500 -2.8452e1 1.9428e0 4.1759e8
39.50 -18.7148 -2.6748e1 2.3703e0 1.3419e8
40.00 -18.7695 -2.7547e1 2.8600e0 1.4174e8
40.50 -17.4372 -2.5619e1 2.9920e0 3.7399e7
41.00 -15.7872 -2.2606e1 2.1045e0 7.1825e6
41.50 -19.3234 -2.9109e1 7.7742e-1 2.4663e8
42.00 -17.8273 -2.6969e1 2.1168e0 5.5247e7
42.50 -16.3758 -2.5040e1 3.0061e0 1.2940e7
43.00 -14.3608 -2.2059e1 3.8748e0 1.7251e6
43.50 -16.2945 -2.5231e1 1.6289e0 1.1929e7
44.00 -15.7790 -2.4899e1 2.3293e0 7.1243e6
44.50 -13.8515 -2.1977e1 3.2747e0 1.0367e6
45.00 -12.4366 -1.9332e1 2.8797e0 2.5185e5
45.50 -15.0143 -2.4526e1 1.8015e0 3.3160e6
46.00 -15.8306 -2.5413e1 1.1895e0 7.5015e6
46.50 -14.7649 -2.3296e1 7.2406e-1 2.5842e6
47.00 -13.1663 -2.1280e1 1.4173e0 5.2247e5
47.50 -13.2672 -2.2163e1 2.2092e0 5.7794e5
48.00 -11.5151 -1.9865e1 1.7124e0 1.0022e5
48.50 -9.5199 -1.7010e1 2.5338e0 1.3627e4
49.00 -9.1050 -1.6721e1 3.1299e0 8.9995e3
49.50 -8.4966 -1.6851e1 4.8597e0 4.8973e3
50.00 -7.0056 -1.4150e1 4.4864e0 1.1018e3
50.50 -6.5422 -1.3501e1 3.7802e0 6.9278e2
51.00 -6.1137 -1.3252e1 4.3249e0 4.5100e2
51.50 -4.9626 -1.1121e1 4.9889e0 1.4197e2
52.00 -4.0005 -9.2341e0 5.3530e0 5.3624e1
52.50 -3.0509 -7.3765e0 6.2371e0 2.0135e1
53.00 -2.1877 -5.4813e0 6.9670e0 7.9149e0
53.50 -1.5286 -3.7577e0 6.3418e0 3.6119e0
54.00 -1.0892 -2.4766e0 4.6546e0 1.9719e0
54.50 -0.8070 -1.6398e0 2.9833e0 1.2411e0
55.00 -0.6181 -1.0945e0 1.6864e0 8.5547e-1
55.50 -0.4935 -7.7010e-1 9.2714e-1 6.3811e-1
56.00 -0.4073 -5.7452e-1 5.2631e-1 5.0272e-1
56.50 -0.3439 -4.4901e-1 3.1076e-1 4.1044e-1
57.00 -0.2951 -3.6314e-1 1.8954e-1 3.4327e-1
57.50 -0.2564 -3.0188e-1 1.1993e-1 2.9233e-1
58.00 -0.2251 -2.5636e-1 7.8822e-2 2.5243e-1
58.50 -0.1991 -2.2128e-1 5.3771e-2 2.2032e-1
59.00 -0.1772 -1.9333e-1 3.7917e-2 1.9388e-1
59.50 -0.1584 -1.7042e-1 2.7487e-2 1.7167e-1
