# R/Å F/kT U/kT C/R <exp(-u/kT)-1>
20.00 inf NaN NaN -1.0000e0
20.50 inf NaN NaN -1.0000e0
21.00 inf NaN NaN -1.0000e0
21.50 inf NaN NaN -1.0000e0
22.00 inf NaN NaN -1.0000e0
22.50 inf NaN NaN -1.0000e0
23.00 inf NaN NaN -1.0000e0
23.50 586.7153 5.7666e2 0.0000e0 -1.0000e0
24.00 268.2148 2.5829e2 2.4111e-1 -1.0000e0
24.50 54.6419 4.4653e1 0.0000e0 -1.0000e0
25.00 -0.2631 -1.0252e1 7.4000e-14 3.0101e-1
25.50 -12.7867 -2.2776e1 5.8840e-5 3.5745e5
26.00 -13.6301 -2.3605e1 7.9753e-2 8.3078e5
26.50 -11.8072 -2.0628e1 1.2678e0 1.3422e5
27.00 -12.8070 -2.1080e1 1.3033e0 3.6477e5
27.50 -13.9428 -2.1962e1 1.3604e0 1.1357e6
28.00 -16.1651 -2.5816e1 1.6316e0 1.0481e7
28.50 -14.2543 -2.2810e1 3.1382e0 1.5508e6
29.00 -13.7052 -2.1325e1 2.9218e0 8.9558e5
29.50 -13.7315 -2.1524e1 3.4097e0 9.1941e5
30.00 -13.6559 -2.1588e1 3.6957e0 8.5248e5
30.50 -12.9899 -2.0086e1 2.9631e0 4.3798e5
31.00 -12.7244 -2.0161e1 3.7045e0 3.3584e5
31.50 -12.4996 -1.9536e1 3.1515e0 2.6823e5
32.00 -11.9800 -1.8665e1 3.4765e0 1.5953e5
32.50 -12.7620 -2.1223e1 5.1267e0 3.4870e5
33.00 -12.9249 -2.1173e1 3.6056e0 4.1039e5
33.50 -11.8143 -1.8895e1 3.3570e0 1.3517e5
34.00 -10.5440 -1.6509e1 4.0304e0 3.7948e4
34.50 -10.3324 -1.6463e1 5.4133e0 3.0712e4
35.00 -9.9039 -1.5529e1 4.9852e0 2.0008e4
35.50 -9.6654 -1.5071e1 4.0301e0 1.5761e4
36.00 -9.6799 -1.5326e1 4.5491e0 1.5992e4
36.50 -10.6600 -1.7950e1 6.2158e0 4.2617e4
37.00 -10.1840 -1.6345e1 4.5913e0 2.6476e4
37.50 -10.6996 -1.8226e1 6.3907e0 4.4335e4
38.00 -9.8077 -1.6169e1 5.4609e0 1.8172e4
38.50 -9.0904 -1.4676e1 4.8470e0 8.8687e3
39.00 -8.8323 -1.4429e1 5.4522e0 6.8511e3
39.50 -8.8792 -1.4854e1 5.7613e0 7.1802e3
40.00 -9.3750 -1.6842e1 7.4531e0 1.1789e4
40.50 -8.5437 -1.4685e1 6.3733e0 5.1336e3
41.00 -7.9259 -1.3289e1 5.0850e0 2.7671e3
41.50 -8.4032 -1.6088e1 8.9612e0 4.4605e3
42.00 -7.9432 -1.4994e1 8.2942e0 2.8154e3
42.50 -7.1343 -1.2517e1 5.5274e0 1.2533e3
43.00 -6.6667 -1.1681e1 5.4197e0 7.8480e2
43.50 -7.3167 -1.4729e1 9.3142e0 1.5042e3
44.00 -6.9297 -1.3875e1 8.1558e0 1.0212e3
44.50 -6.3027 -1.2323e1 8.0762e0 5.4503e2
45.00 -6.2443 -1.2151e1 6.5290e0 5.1409e2
45.50 -6.5241 -1.3654e1 8.2958e0 6.8034e2
46.00 -6.0411 -1.2640e1 7.9352e0 4.1934e2
46.50 -5.9125 -1.3039e1 8.2697e0 3.6862e2
47.00 -5.1557 -1.1260e1 8.0483e0 1.7242e2
47.50 -4.5991 -9.9760e0 7.2205e0 9.8397e1
48.00 -4.0103 -8.6340e0 6.5825e0 5.4165e1
48.50 -3.8085 -8.3035e0 6.3548e0 4.4082e1
49.00 -3.6144 -8.1823e0 6.9360e0 3.6128e1
49.50 -3.2086 -7.4154e0 6.8903e0 2.3745e1
50.00 -2.8225 -6.9140e0 8.1224e0 1.5819e1
50.50 -2.4439 -6.1227e0 8.1966e0 1.0518e1
51.00 -2.2686 -5.9979e0 9.1665e0 8.6655e0
51.50 -2.0536 -5.5160e0 8.7681e0 6.7957e0
52.00 -1.8525 -5.1267e0 9.1440e0 5.3758e0
52.50 -1.5714 -4.3053e0 8.2138e0 3.8132e0
53.00 -1.2252 -3.2356e0 6.7328e0 2.4048e0
53.50 -0.9174 -2.2389e0 4.8050e0 1.5027e0
54.00 -0.7125 -1.6110e0 3.4488e0 1.0391e0
54.50 -0.5557 -1.1455e0 2.3308e0 7.4318e-1
55.00 -0.4323 -7.7863e-1 1.3407e0 5.4075e-1
55.50 -0.3497 -5.5594e-1 7.6022e-1 4.1870e-1
56.00 -0.2923 -4.2081e-1 4.4909e-1 3.3947e-1
56.50 -0.2485 -3.2881e-1 2.6287e-1 2.8205e-1
57.00 -0.2140 -2.6373e-1 1.5146e-1 2.3860e-1
57.50 -0.1866 -2.1760e-1 8.7374e-2 2.0519e-1
58.00 -0.1647 -1.8433e-1 5.1639e-2 1.7905e-1
58.50 -0.1469 -1.5980e-1 3.1870e-2 1.5829e-1
59.00 -0.1323 -1.4104e-1 2.0727e-2 1.4144e-1
59.50 -0.1199 -1.2611e-1 1.4125e-2 1.2743e-1
