# R/Å F/kT U/kT C/R <exp(-u/kT)-1>
20.00 inf NaN NaN -1.0000e0
20.50 inf NaN NaN -1.0000e0
21.00 inf NaN NaN -1.0000e0
21.50 inf NaN NaN -1.0000e0
22.00 inf NaN NaN -1.0000e0
22.50 inf NaN NaN -1.0000e0
23.00 inf NaN NaN -1.0000e0
23.50 275.4162 2.6543e2 0.0000e0 -1.0000e0
24.00 51.1617 4.1172e1 0.0000e0 -1.0000e0
24.50 -2.7078 -1.2697e1 1.8500e-14 1.3996e1
25.00 -14.7528 -2.4742e1 1.3024e-11 2.5529e6
25.50 -15.9399 -2.5929e1 2.1546e-4 8.3681e6
26.00 -14.1303 -2.4076e1 2.5999e-1 1.3699e6
26.50 -17.7943 -2.7141e1 9.5547e-1 5.3453e7
27.00 -16.7843 -2.5105e1 1.0841e0 1.9469e7
27.50 -17.8896 -2.7272e1 1.8665e0 5.8798e7
28.00 -18.3241 -2.7269e1 1.7656e0 9.0793e7
28.50 -19.4074 -2.9080e1 1.1922e0 2.6826e8
29.00 -17.0406 -2.5312e1 3.2064e0 2.5155e7
29.50 -17.0608 -2.5416e1 2.9961e0 2.5669e7
30.00 -16.8422 -2.5762e1 3.5447e0 2.0628e7
30.50 -15.8443 -2.3994e1 3.3253e0 7.6051e6
31.00 -15.8196 -2.4096e1 3.3201e0 7.4191e6
31.50 -15.1549 -2.2691e1 2.2939e0 3.8165e6
32.00 -13.9558 -2.0623e1 2.4480e0 1.1506e6
32.50 -14.0664 -2.0933e1 2.7185e0 1.2851e6
33.00 -14.8618 -2.2658e1 3.0476e0 2.8472e6
33.50 -14.2932 -2.2312e1 3.1814e0 1.6123e6
34.00 -12.4535 -1.9010e1 4.1570e0 2.5613e5
34.50 -11.9237 -1.7752e1 2.8500e0 1.5079e5
35.00 -12.2259 -1.9213e1 4.9900e0 2.0400e5
35.50 -12.0104 -1.9089e1 5.5254e0 1.6446e5
36.00 -12.4449 -1.9217e1 3.1645e0 2.5394e5
36.50 -13.4308 -2.1585e1 4.3423e0 6.8067e5
37.00 -15.7149 -2.5400e1 1.1574e0 6.6815e6
37.50 -14.5837 -2.4206e1 1.7029e0 2.1558e6
38.00 -12.5996 -2.0660e1 3.4488e0 2.9644e5
38.50 -11.4499 -1.8668e1 4.1210e0 9.3888e4
39.00 -12.0984 -2.0501e1 4.0951e0 1.7958e5
39.50 -11.8596 -1.9608e1 2.9815e0 1.4143e5
40.00 -10.7050 -1.7525e1 3.4595e0 4.4576e4
40.50 -9.7533 -1.5776e1 3.3980e0 1.7211e4
41.00 -11.3777 -1.9958e1 3.2707e0 8.7351e4
41.50 -11.8667 -2.0862e1 2.0017e0 1.4244e5
42.00 -10.1229 -1.7791e1 4.0072e0 2.4905e4
42.50 -9.1832 -1.6564e1 5.4289e0 9.7313e3
43.00 -7.9055 -1.3979e1 5.2071e0 2.7111e3
43.50 -8.6226 -1.6093e1 5.1750e0 5.5549e3
44.00 -8.5693 -1.5983e1 4.2026e0 5.2664e3
44.50 -7.7688 -1.4421e1 4.9105e0 2.3647e3
45.00 -7.0506 -1.2891e1 3.8154e0 1.1525e3
45.50 -7.1895 -1.4083e1 5.4351e0 1.3245e3
46.00 -7.6579 -1.5218e1 4.0772e0 2.1163e3
46.50 -7.8140 -1.5705e1 3.2111e0 2.4741e3
47.00 -7.3970 -1.5206e1 3.9178e0 1.6302e3
47.50 -8.4870 -1.7517e1 2.9187e0 4.8501e3
48.00 -7.0827 -1.5431e1 3.4988e0 1.1902e3
48.50 -5.6221 -1.2791e1 5.1253e0 2.7546e2
49.00 -5.4516 -1.2893e1 5.7645e0 2.3213e2
49.50 -4.3947 -1.1203e1 8.1658e0 8.0020e1
50.00 -3.5002 -9.2481e0 8.8909e0 3.2122e1
50.50 -3.1962 -8.8236e0 9.4065e0 2.3440e1
51.00 -2.9066 -8.5202e0 1.0896e1 1.7295e1
51.50 -2.2921 -6.7740e0 1.1281e1 8.8958e0
52.00 -1.6690 -4.6966e0 9.6962e0 4.3068e0
52.50 -1.1934 -3.0054e0 6.5747e0 2.2983e0
53.00 -0.8756 -1.9140e0 3.9208e0 1.4003e0
53.50 -0.6697 -1.2629e0 2.2112e0 9.5371e-1
54.00 -0.5353 -8.8367e-1 1.2431e0 7.0790e-1
54.50 -0.4416 -6.5228e-1 7.1201e-1 5.5526e-1
55.00 -0.3729 -5.0051e-1 4.0219e-1 4.5197e-1
55.50 -0.3217 -4.0145e-1 2.3413e-1 3.7948e-1
56.00 -0.2820 -3.3364e-1 1.4264e-1 3.2577e-1
56.50 -0.2501 -2.8462e-1 9.0576e-2 2.8410e-1
57.00 -0.2236 -2.4729e-1 5.9287e-2 2.5061e-1
57.50 -0.2014 -2.1803e-1 3.9983e-2 2.2315e-1
58.00 -0.1826 -1.9444e-1 2.7744e-2 2.0028e-1
58.50 -0.1663 -1.7504e-1 1.9782e-2 1.8097e-1
59.00 -0.1522 -1.5873e-1 1.4460e-2 1.6443e-1
59.50 -0.1399 -1.4480e-1 1.0795e-2 1.5012e-1
