# R/Å F/kT U/kT C/R <exp(-u/kT)-1>
20.00 inf NaN NaN -1.0000e0
20.50 inf NaN NaN -1.0000e0
21.00 inf NaN NaN -1.0000e0
21.50 inf NaN NaN -1.0000e0
22.00 inf NaN NaN -1.0000e0
22.50 inf NaN NaN -1.0000e0
23.00 inf NaN NaN -1.0000e0
23.50 641.7627 6.3171e2 0.0000e0 -1.0000e0
24.00 313.8093 3.0447e2 1.4643e-1 -1.0000e0
24.50 94.7352 8.4746e1 0.0000e0 -1.0000e0
25.00 34.4673 2.4478e1 2.2200e-13 -1.0000e0
25.50 17.1544 7.1652e0 7.7754e-5 -1.0000e0
26.00 12.1225 2.1552e0 1.0898e-1 -9.9999e-1
26.50 10.4406 1.0361e0 1.2325e0 -9.9997e-1
27.00 9.1569 1.2688e0 1.0789e0 -9.9989e-1
27.50 8.0386 1.0049e0 7.9054e-1 -9.9968e-1
28.00 7.2374 9.3428e-1 6.5733e-1 -9.9928e-1
28.50 6.5651 9.0835e-1 6.5230e-1 -9.9859e-1
29.00 5.8888 9.3089e-1 6.1053e-1 -9.9723e-1
29.50 5.2042 8.3763e-1 4.9825e-1 -9.9451e-1
30.00 4.6300 6.8663e-1 3.5457e-1 -9.9025e-1
30.50 4.1953 5.7086e-1 3.5189e-1 -9.8493e-1
31.00 3.8310 5.2789e-1 3.4346e-1 -9.7831e-1
31.50 3.4843 4.9938e-1 3.1173e-1 -9.6932e-1
32.00 3.1585 4.2728e-1 2.7492e-1 -9.5751e-1
32.50 2.8846 3.8206e-1 2.6182e-1 -9.4412e-1
33.00 2.6363 3.4660e-1 2.4341e-1 -9.2837e-1
33.50 2.4076 3.1538e-1 2.2391e-1 -9.0997e-1
34.00 2.2003 2.8374e-1 2.0417e-1 -8.8923e-1
34.50 2.0143 2.6154e-1 1.9151e-1 -8.6659e-1
35.00 1.8423 2.4201e-1 1.7549e-1 -8.4155e-1
35.50 1.6839 2.1661e-1 1.5739e-1 -8.1435e-1
36.00 1.5422 1.9939e-1 1.5034e-1 -7.8610e-1
36.50 1.4079 1.8557e-1 1.4179e-1 -7.5535e-1
37.00 1.2819 1.7268e-1 1.2966e-1 -7.2249e-1
37.50 1.1669 1.6033e-1 1.1683e-1 -6.8868e-1
38.00 1.0640 1.4895e-1 1.0464e-1 -6.5492e-1
38.50 0.9708 1.3879e-1 9.5307e-2 -6.2123e-1
39.00 0.8865 1.3043e-1 8.9358e-2 -5.8792e-1
39.50 0.8096 1.2564e-1 8.3196e-2 -5.5496e-1
40.00 0.7362 1.2063e-1 7.5681e-2 -5.2106e-1
40.50 0.6674 1.1401e-1 7.0242e-2 -4.8697e-1
41.00 0.6039 1.0811e-1 6.3804e-2 -4.5334e-1
41.50 0.5463 1.0312e-1 5.9997e-2 -4.2091e-1
42.00 0.4923 9.9509e-2 5.4717e-2 -3.8879e-1
42.50 0.4418 9.4286e-2 4.8488e-2 -3.5709e-1
43.00 0.3966 8.8607e-2 4.2995e-2 -3.2743e-1
43.50 0.3567 8.3410e-2 3.8299e-2 -3.0004e-1
44.00 0.3209 7.8945e-2 3.5325e-2 -2.7449e-1
44.50 0.2869 7.5216e-2 3.3042e-2 -2.4938e-1
45.00 0.2544 7.1698e-2 3.0642e-2 -2.2459e-1
45.50 0.2244 6.6954e-2 2.6211e-2 -2.0098e-1
46.00 0.1985 6.2686e-2 2.3990e-2 -1.8002e-1
46.50 0.1753 5.8714e-2 2.0635e-2 -1.6081e-1
47.00 0.1550 5.4540e-2 1.8055e-2 -1.4357e-1
47.50 0.1371 5.1441e-2 1.6846e-2 -1.2808e-1
48.00 0.1206 4.8559e-2 1.5151e-2 -1.1358e-1
48.50 0.1053 4.5911e-2 1.3583e-2 -9.9981e-2
49.00 0.0918 4.2707e-2 1.1108e-2 -8.7691e-2
49.50 0.0805 3.9733e-2 9.6628e-3 -7.7332e-2
50.00 0.0710 3.7249e-2 8.0975e-3 -6.8493e-2
50.50 0.0629 3.4903e-2 6.9504e-3 -6.0930e-2
51.00 0.0557 3.2673e-2 5.9802e-3 -5.4217e-2
51.50 0.0495 3.0773e-2 5.6722e-3 -4.8278e-2
52.00 0.0436 2.9292e-2 5.2953e-3 -4.2666e-2
52.50 0.0379 2.7633e-2 4.3836e-3 -3.7211e-2
53.00 0.0331 2.5591e-2 3.2056e-3 -3.2541e-2
53.50 0.0295 2.3762e-2 2.6588e-3 -2.9028e-2
54.00 0.0265 2.2334e-2 2.2844e-3 -2.6168e-2
54.50 0.0240 2.0898e-2 1.7462e-3 -2.3716e-2
55.00 0.0219 1.9578e-2 1.5377e-3 -2.1706e-2
55.50 0.0201 1.8461e-2 1.3576e-3 -1.9884e-2
56.00 0.0184 1.7334e-2 1.0916e-3 -1.8200e-2
56.50 0.0169 1.6228e-2 8.6455e-4 -1.6731e-2
57.00 0.0156 1.5205e-2 6.9782e-4 -1.5480e-2
57.50 0.0145 1.4240e-2 5.3918e-4 -1.4411e-2
58.00 0.0136 1.3358e-2 4.5592e-4 -1.3499e-2
58.50 0.0128 1.2557e-2 3.9518e-4 -1.2677e-2
59.00 0.0120 1.1803e-2 3.4313e-4 -1.1906e-2
59.50 0.0112 1.1093e-2 2.9823e-4 -1.1182e-2
