# R/Å F/kT U/kT C/R <exp(-u/kT)-1>
20.00 inf NaN NaN -1.0000e0
20.50 inf NaN NaN -1.0000e0
21.00 inf NaN NaN -1.0000e0
21.50 inf NaN NaN -1.0000e0
22.00 inf NaN NaN -1.0000e0
22.50 inf NaN NaN -1.0000e0
23.00 inf NaN NaN -1.0000e0
23.50 616.4226 6.0637e2 0.0000e0 -1.0000e0
24.00 294.2128 2.8465e2 4.1472e-1 -1.0000e0
24.50 77.8197 6.7830e1 0.0000e0 -1.0000e0
25.00 20.1790 1.0190e1 3.7000e-14 -1.0000e0
25.50 5.1658 -4.8234e0 4.1912e-5 -9.9429e-1
26.00 2.1089 -7.8676e0 7.1245e-2 -8.7863e-1
26.50 2.1984 -7.1376e0 1.4713e0 -8.8902e-1
27.00 1.4537 -6.2219e0 9.8455e-1 -7.6629e-1
27.50 0.0199 -7.9099e0 2.8461e0 -1.9664e-2
28.00 -0.9822 -9.0419e0 3.6320e0 1.6704e0
28.50 -0.9701 -8.4546e0 4.3201e0 1.6382e0
29.00 -0.6993 -6.5663e0 2.7297e0 1.0124e0
29.50 -0.8846 -6.0883e0 2.3926e0 1.4219e0
30.00 -1.1188 -6.2389e0 3.3011e0 2.0613e0
30.50 -1.1235 -5.8557e0 2.8897e0 2.0755e0
31.00 -1.1002 -5.6019e0 3.1690e0 2.0047e0
31.50 -1.1967 -5.5533e0 3.7471e0 2.3092e0
32.00 -1.3577 -5.8064e0 4.4379e0 2.8873e0
32.50 -1.2613 -5.2368e0 3.6655e0 2.5300e0
33.00 -1.3358 -5.3920e0 4.9589e0 2.8030e0
33.50 -1.3366 -5.2063e0 5.2862e0 2.8061e0
34.00 -1.1593 -4.3069e0 3.2375e0 2.1877e0
34.50 -1.1261 -3.9683e0 2.7551e0 2.0835e0
35.00 -1.1485 -3.8926e0 3.1160e0 2.1534e0
35.50 -1.0885 -3.5162e0 2.2765e0 1.9697e0
36.00 -1.0770 -3.4329e0 2.6680e0 1.9358e0
36.50 -1.1139 -3.4207e0 2.9360e0 2.0461e0
37.00 -1.1737 -3.4736e0 3.2678e0 2.2341e0
37.50 -1.2953 -3.9235e0 5.2493e0 2.6520e0
38.00 -1.2315 -3.6197e0 4.6313e0 2.4263e0
38.50 -1.1215 -3.1053e0 3.1385e0 2.0695e0
39.00 -1.0862 -2.9363e0 2.9787e0 1.9630e0
39.50 -1.0923 -2.9329e0 3.2659e0 1.9812e0
40.00 -1.0658 -2.8159e0 3.2614e0 1.9032e0
40.50 -1.0155 -2.6214e0 3.0741e0 1.7607e0
41.00 -0.9652 -2.4208e0 2.6905e0 1.6254e0
41.50 -0.8976 -2.2105e0 2.4379e0 1.4538e0
42.00 -0.8486 -2.0611e0 2.3678e0 1.3364e0
42.50 -0.8141 -1.9749e0 2.4513e0 1.2571e0
43.00 -0.7587 -1.8101e0 2.1819e0 1.1355e0
43.50 -0.7021 -1.6658e0 2.0192e0 1.0180e0
44.00 -0.6589 -1.6031e0 2.2652e0 9.3271e-1
44.50 -0.6130 -1.4556e0 1.9887e0 8.4602e-1
45.00 -0.5916 -1.3862e0 1.9147e0 8.0684e-1
45.50 -0.5682 -1.3484e0 2.0629e0 7.6503e-1
46.00 -0.5363 -1.3161e0 2.3814e0 7.0963e-1
46.50 -0.4898 -1.2076e0 2.2431e0 6.3198e-1
47.00 -0.4302 -1.0426e0 1.8954e0 5.3757e-1
47.50 -0.3821 -9.0998e-1 1.6111e0 4.6533e-1
48.00 -0.3324 -7.6397e-1 1.2719e0 3.9426e-1
48.50 -0.3022 -6.7311e-1 1.0653e0 3.5278e-1
49.00 -0.2866 -6.6222e-1 1.1820e0 3.3185e-1
49.50 -0.2526 -5.8751e-1 1.0817e0 2.8736e-1
50.00 -0.2096 -4.7860e-1 8.5244e-1 2.3324e-1
50.50 -0.1708 -3.7877e-1 6.4129e-1 1.8629e-1
51.00 -0.1461 -3.2575e-1 5.6713e-1 1.5726e-1
51.50 -0.1272 -2.8538e-1 5.0895e-1 1.3562e-1
52.00 -0.1141 -2.6265e-1 5.1984e-1 1.2086e-1
52.50 -0.1017 -2.3241e-1 4.5963e-1 1.0705e-1
53.00 -0.0818 -1.7984e-1 3.2647e-1 8.5280e-2
53.50 -0.0592 -1.2211e-1 1.9284e-1 6.0945e-2
54.00 -0.0416 -8.1827e-2 1.1461e-1 4.2529e-2
54.50 -0.0282 -5.4596e-2 7.1141e-2 2.8575e-2
55.00 -0.0172 -3.3657e-2 4.1987e-2 1.7382e-2
55.50 -0.0097 -1.9649e-2 2.4379e-2 9.7189e-3
56.00 -0.0045 -1.0974e-2 1.5593e-2 4.5361e-3
56.50 -0.0006 -4.8327e-3 1.0099e-2 6.3466e-4
57.00 0.0024 -2.2077e-4 6.2771e-3 -2.3961e-3
57.50 0.0047 3.0913e-3 3.7390e-3 -4.6902e-3
58.00 0.0064 5.3941e-3 2.2056e-3 -6.3610e-3
58.50 0.0075 6.8867e-3 1.3155e-3 -7.4685e-3
59.00 0.0082 7.7653e-3 8.2239e-4 -8.1241e-3
59.50 0.0085 8.2246e-3 5.4528e-4 -8.4540e-3
