# R/Å F/kT U/kT C/R <exp(-u/kT)-1>
20.00 inf NaN NaN -1.0000e0
20.50 inf NaN NaN -1.0000e0
21.00 inf NaN NaN -1.0000e0
21.50 inf NaN NaN -1.0000e0
22.00 inf NaN NaN -1.0000e0
22.50 inf NaN NaN -1.0000e0
23.00 inf NaN NaN -1.0000e0
23.50 623.1994 6.1314e2 0.0000e0 -1.0000e0
24.00 295.6530 2.8606e2 4.3680e-1 -1.0000e0
24.50 75.7021 6.5713e1 0.0000e0 -1.0000e0
25.00 17.2328 7.2436e0 9.5682e-15 -1.0000e0
25.50 2.1148 -7.8744e0 3.0878e-5 -8.7935e-1
26.00 -0.8464 -1.0825e1 6.2063e-2 1.3313e0
26.50 -0.5947 -9.9786e0 1.4180e0 8.1255e-1
27.00 -1.2067 -8.9435e0 1.0355e0 2.3423e0
27.50 -2.5805 -1.0583e1 2.8520e0 1.2203e1
28.00 -3.6080 -1.1873e1 3.6217e0 3.5892e1
28.50 -3.4653 -1.1172e1 4.3215e0 3.0986e1
29.00 -3.0192 -9.0425e0 2.9065e0 1.9475e1
29.50 -3.1033 -8.4422e0 2.5368e0 2.1271e1
30.00 -3.3066 -8.7199e0 3.9587e0 2.6291e1
30.50 -3.2200 -8.1876e0 3.2750e0 2.4029e1
31.00 -3.1538 -7.9834e0 3.7259e0 2.2425e1
31.50 -3.1995 -7.9378e0 4.4075e0 2.3520e1
32.00 -3.3099 -8.1580e0 4.9148e0 2.6381e1
32.50 -3.1247 -7.4708e0 4.1831e0 2.1753e1
33.00 -3.1929 -7.7995e0 5.8910e0 2.3358e1
33.50 -3.1258 -7.5767e0 6.4367e0 2.1779e1
34.00 -2.8066 -6.3312e0 3.9699e0 1.5554e1
34.50 -2.7061 -5.8874e0 3.3560e0 1.3970e1
35.00 -2.6841 -5.8139e0 3.9693e0 1.3645e1
35.50 -2.5426 -5.2583e0 2.7267e0 1.1713e1
36.00 -2.4934 -5.1984e0 3.4108e0 1.1103e1
36.50 -2.5058 -5.2026e0 3.7100e0 1.1253e1
37.00 -2.5453 -5.2731e0 4.0432e0 1.1747e1
37.50 -2.6877 -5.9584e0 6.7689e0 1.3697e1
38.00 -2.5578 -5.5012e0 5.8301e0 1.1907e1
38.50 -2.3719 -4.7886e0 3.8738e0 9.7177e0
39.00 -2.2962 -4.5774e0 3.7346e0 8.9362e0
39.50 -2.2721 -4.5663e0 4.0775e0 8.6999e0
40.00 -2.2065 -4.4227e0 4.1812e0 8.0837e0
40.50 -2.1069 -4.1643e0 4.0301e0 7.2226e0
41.00 -2.0068 -3.8832e0 3.5252e0 6.4392e0
41.50 -1.8849 -3.5870e0 3.1966e0 5.5857e0
42.00 -1.7968 -3.4086e0 3.2304e0 5.0305e0
42.50 -1.7273 -3.3022e0 3.4090e0 4.6256e0
43.00 -1.6257 -3.0608e0 3.0084e0 4.0821e0
43.50 -1.5276 -2.8674e0 2.8475e0 3.6070e0
44.00 -1.4548 -2.8225e0 3.4106e0 3.2837e0
44.50 -1.3673 -2.5993e0 2.9777e0 2.9246e0
45.00 -1.3169 -2.5060e0 2.9175e0 2.7318e0
45.50 -1.2684 -2.4829e0 3.3312e0 2.5552e0
46.00 -1.2116 -2.4811e0 4.0717e0 2.3589e0
46.50 -1.1282 -2.3283e0 3.9326e0 2.0902e0
47.00 -1.0201 -2.0589e0 3.3914e0 1.7734e0
47.50 -0.9301 -1.8397e0 2.9216e0 1.5348e0
48.00 -0.8358 -1.5920e0 2.3587e0 1.3066e0
48.50 -0.7717 -1.4333e0 2.0112e0 1.1633e0
49.00 -0.7324 -1.4079e0 2.2116e0 1.0800e0
49.50 -0.6655 -1.2794e0 2.0694e0 9.4553e-1
50.00 -0.5842 -1.0894e0 1.6954e0 7.9358e-1
50.50 -0.5090 -9.0949e-1 1.3244e0 6.6371e-1
51.00 -0.4569 -8.1020e-1 1.2002e0 5.7912e-1
51.50 -0.4137 -7.2935e-1 1.0915e0 5.1235e-1
52.00 -0.3795 -6.7720e-1 1.1012e0 4.6161e-1
52.50 -0.3461 -6.0918e-1 9.7253e-1 4.1353e-1
53.00 -0.3014 -5.0123e-1 7.0473e-1 3.5169e-1
53.50 -0.2535 -3.8616e-1 4.3483e-1 2.8859e-1
54.00 -0.2150 -3.0307e-1 2.7113e-1 2.3981e-1
54.50 -0.1836 -2.4367e-1 1.7582e-1 2.0153e-1
55.00 -0.1570 -1.9631e-1 1.0962e-1 1.6995e-1
55.50 -0.1362 -1.6197e-1 6.8475e-2 1.4586e-1
56.00 -0.1197 -1.3757e-1 4.6233e-2 1.2712e-1
56.50 -0.1057 -1.1825e-1 3.1619e-2 1.1151e-1
57.00 -0.0937 -1.0229e-1 2.1200e-2 9.8188e-2
57.50 -0.0833 -8.9196e-2 1.4040e-2 8.6834e-2
58.00 -0.0743 -7.8419e-2 9.3639e-3 7.7157e-2
58.50 -0.0667 -6.9553e-2 6.3688e-3 6.8959e-2
59.00 -0.0601 -6.2202e-2 4.4701e-3 6.1988e-2
59.50 -0.0545 -5.5997e-2 3.2306e-3 5.5995e-2
60.00 -0.0495 -5.0676e-2 2.3925e-3 5.0788e-2
60.50 -0.0452 -4.6055e-2 1.8080e-3 4.6225e-2
61.00 -0.0413 -4.2001e-2 1.3894e-3 4.2196e-2
61.50 -0.0379 -3.8417e-2 1.0828e-3 3.8618e-2
62.00 -0.0348 -3.5226e-2 8.5405e-4 3.5422e-2
62.50 -0.0320 -3.2370e-2 6.8066e-4 3.2555e-2
63.00 -0.0295 -2.9803e-2 5.4741e-4 2.9974e-2
63.50 -0.0273 -2.7485e-2 4.4378e-4 2.7641e-2
64.00 -0.0252 -2.5385e-2 3.6234e-4 2.5526e-2
64.50 -0.0233 -2.3476e-2 2.9773e-4 2.3603e-2
65.00 -0.0216 -2.1737e-2 2.4606e-4 2.1851e-2
65.50 -0.0200 -2.0149e-2 2.0442e-4 2.0249e-2
66.00 -0.0186 -1.8694e-2 1.7063e-4 1.8783e-2
66.50 -0.0173 -1.7359e-2 1.4305e-4 1.7438e-2
67.00 -0.0161 -1.6132e-2 1.2041e-4 1.6202e-2
67.50 -0.0150 -1.5002e-2 1.0172e-4 1.5064e-2
68.00 -0.0139 -1.3960e-2 8.6230e-5 1.4014e-2
68.50 -0.0130 -1.2997e-2 7.3326e-5 1.3045e-2
69.00 -0.0121 -1.2106e-2 6.2536e-5 1.2148e-2
69.50 -0.0113 -1.1281e-2 5.3479e-5 1.1318e-2
70.00 -0.0105 -1.0516e-2 4.5850e-5 1.0549e-2
70.50 -0.0098 -9.8060e-3 3.9402e-5 9.8344e-3
