q,total,beta
0.028050,10.032311,0.068220
0.039669,10.995522,0.021724
0.048584,12.531654,0.013891
0.056100,13.561532,0.009928
0.079337,20.995739,0.003372
0.084150,23.265665,0.002629
0.097168,32.762625,0.001413
0.112200,51.833689,0.000701
0.119006,65.807322,0.000487
0.140250,123.700559,0.000201
0.145752,135.799456,0.000166
0.158674,150.589877,0.000127
0.168300,142.283746,0.000118
0.194336,101.266952,0.000123
0.196350,101.038985,0.000119
0.198343,97.784729,0.000120
0.224399,83.602495,0.000108
0.238012,83.407942,0.000097
0.242920,84.630405,0.000092
0.252449,87.035033,0.000084
0.277680,99.906107,0.000061
0.280499,102.848067,0.000058
0.291503,107.178693,0.000052
0.317349,110.040245,0.000042
0.340087,104.110570,0.000039
0.357017,98.394909,0.000037
0.388671,94.775093,0.000033
0.396686,94.597975,0.000031
0.437255,101.594566,0.000024
0.485839,102.188073,0.000019
