time_seconds,time_between_measurements,temperature_c,total_volume,volume_delta,concentration,ph,net_charge
0.0,0.0,20.0,2500.0,0.0,0.0,12.14,-6.9019213e-05
60.0,60.0,20.0,2500.0,0.0,0.0,12.15,-6.9823045e-05
80.3,20.0,20.0,2500.1,0.1,0.019999,12.16,-7.0597046e-05
102.5,22.0,20.0,2500.2,0.1,0.039997,12.15,-6.972587e-05
123.1,21.0,20.0,2500.3,0.1,0.059993,12.15,-6.9677283e-05
143.8,21.0,20.0,2500.4,0.1,0.079987,12.15,-6.9628695e-05
164.4,20.0,20.0,2500.5,0.1,0.09998,12.15,-6.9580108e-05
185.1,21.0,20.0,2500.6,0.1,0.119971,12.15,-6.953152e-05
207.5,22.0,20.0,2500.7,0.1,0.139961,12.15,-6.9482933e-05
228.1,21.0,20.0,2500.8,0.1,0.159949,12.15,-6.9434346e-05
248.7,21.0,20.0,2500.9,0.1,0.179935,12.15,-6.9385758e-05
269.4,20.0,20.0,2501.0,0.1,0.19992,12.14,-6.8533017e-05
290.1,21.0,20.0,2501.1,0.1,0.219903,12.14,-6.8484397e-05
312.4,22.0,20.0,2501.2,0.1,0.239885,12.14,-6.8435778e-05
333.1,21.0,20.0,2501.3,0.1,0.259865,12.14,-6.8387158e-05
353.7,21.0,20.0,2501.4,0.1,0.279843,12.14,-6.8338539e-05
374.4,20.0,20.0,2501.5,0.1,0.29982,12.14,-6.8289919e-05
395.0,21.0,20.0,2501.6,0.1,0.319795,12.13,-6.7455262e-05
417.5,22.0,20.0,2501.7,0.1,0.339769,12.13,-6.7406611e-05
438.1,21.0,20.0,2501.8,0.1,0.359741,12.13,-6.735796e-05
458.8,21.0,20.0,2501.9,0.1,0.379711,12.13,-6.7309309e-05
479.4,20.0,20.0,2502.0,0.1,0.39968,12.13,-6.7260658e-05
500.1,21.0,20.0,2502.1,0.1,0.419648,12.13,-6.7212007e-05
522.5,22.0,20.0,2502.2,0.1,0.439613,12.12,-6.6395027e-05
543.1,21.0,20.0,2502.3,0.1,0.459577,12.12,-6.6346345e-05
563.7,21.0,20.0,2502.4,0.1,0.47954,12.12,-6.6297663e-05
584.4,20.0,20.0,2502.5,0.1,0.499501,12.12,-6.6248981e-05
605.1,21.0,20.0,2502.6,0.1,0.51946,12.12,-6.62003e-05
627.4,22.0,20.0,2502.7,0.1,0.539417,12.12,-6.6151618e-05
648.1,21.0,20.0,2502.8,0.1,0.559373,12.11,-6.5351916e-05
668.7,21.0,20.0,2502.9,0.1,0.579328,12.11,-6.5303205e-05
689.4,20.0,20.0,2503.0,0.1,0.599281,12.11,-6.5254493e-05
