ph,net_charge
10.96,-7.238043e-06
10.96,-7.238043e-06
10.95,-1.2142000000000163e-08
10.94,8.29939999999993e-08
10.93,1.7710399999999965e-07
10.91,3.124219999999995e-07
10.9,4.035909999999998e-07
10.88,5.332209999999998e-07
10.87,6.216459999999997e-07
10.85,7.459679999999997e-07
10.84,8.318319999999998e-07
10.82,9.511989999999996e-07
10.81,1.0346719999999997e-06
10.79,1.1494159999999996e-06
10.78,1.2306569999999998e-06
10.76,1.3410849999999995e-06
10.74,1.4487949999999997e-06
10.72,1.5539099999999995e-06
10.71,1.6305059999999996e-06
10.69,1.7319469999999997e-06
10.67,1.8310759999999995e-06
10.65,1.9279949999999997e-06
10.63,2.0228039999999996e-06
10.61,2.1155989999999995e-06
10.6,2.1862489999999994e-06
10.58,2.276191e-06
10.55,2.3827799999999997e-06
10.54,2.4507679999999994e-06
10.52,2.535561e-06
10.49,2.634854e-06
10.47,2.7158659999999996e-06
10.45,2.795483e-06
10.43,2.8737679999999995e-06
10.41,2.9507819999999997e-06
10.38,3.0390539999999994e-06
10.36,3.1131329999999997e-06
10.33,3.1972459999999996e-06
10.31,3.2687079999999995e-06
10.28,3.349114e-06
10.25,3.4274919999999996e-06
10.23,3.4953449999999996e-06
10.2,3.5706389999999998e-06
10.17,3.6442459999999998e-06
10.14,3.7162789999999995e-06
10.11,3.7868409999999995e-06
10.09,3.849778e-06
10.05,3.923943e-06
10.02,3.990658999999999e-06
9.99,4.056261e-06
9.96,4.1208209999999995e-06
9.93,4.18441e-06
9.89,4.251132999999999e-06
9.86,4.312699999999999e-06
9.83,4.373496e-06
9.79,4.43678e-06
9.75,4.4988969999999995e-06
9.71,4.5599469999999996e-06
9.68,4.617591999999999e-06
9.64,4.676998e-06
9.6,4.735577e-06
9.55,4.795248999999999e-06
9.51,4.8522229999999995e-06
9.46,4.910086e-06
9.4,4.968401e-06
9.35,5.024504999999999e-06
9.29,5.08096e-06
9.23,5.136582999999999e-06
9.16,5.1922329999999995e-06
9.09,5.247043e-06
9.01,5.301669e-06
8.93,5.355518e-06
8.84,5.40908e-06
8.76,5.461682e-06
8.67,5.514091e-06
8.58,5.56605e-06
8.5,5.617481e-06
8.42,5.668672e-06
8.35,5.719549e-06
8.28,5.7702959999999995e-06
8.22,5.820847e-06
8.17,5.8712519999999995e-06
8.12,5.921613999999999e-06
8.07,5.971936999999999e-06
8.03,6.022169999999999e-06
7.99,6.072382e-06
7.95,6.122577e-06
7.92,6.172712e-06
7.88,6.222877999999999e-06
7.85,6.272993e-06
7.83,6.323065999999999e-06
7.8,6.373169e-06
7.77,6.4232659999999995e-06
7.75,6.473327e-06
7.72,6.523413999999999e-06
7.7,6.573468999999999e-06
7.68,6.623520999999999e-06
7.66,6.673572e-06
7.64,6.723619999999999e-06
7.63,6.773643e-06
7.61,6.8236889999999995e-06
7.59,6.873731999999999e-06
7.58,6.9237529999999994e-06
7.56,6.973795e-06
7.54,7.023834e-06
7.53,7.073853e-06
7.51,7.12389e-06
7.5,7.173907999999999e-06
7.48,7.223943999999999e-06
7.47,7.273961e-06
7.46,7.3239779999999995e-06
7.44,7.37401e-06
7.43,7.424026e-06
7.42,7.474042e-06
7.41,7.5240569999999995e-06
7.39,7.5740869999999995e-06
7.38,7.624101999999999e-06
7.37,7.674115999999999e-06
7.36,7.72413e-06
7.35,7.774144e-06
7.34,7.824158e-06
7.33,7.874172e-06
7.32,7.924185e-06
7.31,7.974198e-06
7.29,8.024224e-06
7.28,8.074236e-06
